RepRapFirmware height map file v2 generated at 2024-09-13 12:29, min error -0.161, max error 0.205, mean -0.042, deviation 0.078
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,320.00,30.00,350.00,-1.00,32.00,32.00,11,11
 -0.089, -0.055, -0.036, -0.034, -0.009, -0.003,  0.017,  0.050,  0.068,  0.091,  0.108
 -0.109, -0.084, -0.068, -0.070, -0.057, -0.057, -0.033, -0.001,  0.007,  0.031,  0.050
 -0.134, -0.106, -0.100, -0.109, -0.102, -0.109, -0.075, -0.039, -0.030, -0.016,  0.001
 -0.148, -0.125, -0.115, -0.132, -0.131, -0.146, -0.114, -0.081, -0.070, -0.059, -0.054
 -0.148, -0.130, -0.130, -0.140, -0.148, -0.161, -0.131, -0.098, -0.096, -0.092, -0.084
 -0.101, -0.088, -0.095, -0.116, -0.128, -0.149, -0.129, -0.098, -0.092, -0.090, -0.090
 -0.053, -0.043, -0.049, -0.075, -0.096, -0.115, -0.100, -0.076, -0.079, -0.082, -0.080
  0.001,  0.014,  0.003, -0.039, -0.055, -0.081, -0.062, -0.054, -0.061, -0.069, -0.079
  0.069,  0.078,  0.057,  0.019, -0.007, -0.046, -0.034, -0.024, -0.043, -0.061, -0.086
  0.132,  0.129,  0.108,  0.072,  0.039, -0.006,  0.000,  0.003, -0.027, -0.055, -0.092
  0.205,  0.205,  0.176,  0.122,  0.086,  0.040,  0.036,  0.036,  0.001, -0.025, -0.076
