Sample,X,Y,Z
0,-0.0674,0.0009,0.4175
1,-0.0234,0.0130,1.0154
2,0.0111,0.0234,1.0158
3,0.0193,0.0231,0.9994
4,-0.0259,0.0119,1.0269
5,-0.0519,-0.0057,1.0633
6,-0.0165,0.0015,1.0673
7,0.0165,0.0362,1.0286
8,0.0102,0.0545,0.9893
9,-0.0221,0.0288,1.0032
10,-0.0504,-0.0143,1.0660
11,-0.0346,-0.0089,1.0753
12,0.0216,0.0190,1.0284
13,0.0258,0.0485,0.9840
14,-0.0244,0.0190,1.0088
15,-0.0432,-0.0106,1.0684
16,-0.0204,-0.0157,1.0753
17,0.0095,0.0218,1.0192
18,-0.0027,0.0475,0.9818
19,-0.0157,0.0214,1.0226
20,-0.0434,0.0052,1.0747
21,-0.0239,0.0077,1.0649
22,0.0067,0.0266,1.0166
23,0.0016,0.0414,0.9858
24,-0.0215,0.0112,1.0378
25,-0.0168,-0.0082,1.0750
26,-0.0208,0.0175,1.0491
27,0.0012,0.0364,1.0043
28,0.0032,0.0295,1.0128
29,-0.0130,0.0028,1.0516
30,-0.0323,-0.0048,1.0621
31,-0.0203,0.0122,1.0209
32,-0.0063,0.0246,1.0186
33,-0.0012,0.0237,1.0331
34,-0.0193,0.0157,1.0366
35,-0.0212,0.0090,1.0359
36,-0.0112,0.0134,1.0349
37,-0.0102,0.0134,1.0385
38,-0.0089,0.0179,1.0332
39,-0.0001,0.0198,1.0151
40,-0.0187,0.0108,1.0386
41,-0.0205,-0.0062,1.0554
42,-0.0079,0.0118,1.0467
43,-0.0126,0.0274,1.0143
44,-0.0204,0.0233,1.0090
45,-0.0167,0.0010,1.0341
46,-0.0127,-0.0063,1.0585
47,0.0000,0.0067,1.0381
48,-0.0010,0.0229,1.0170
49,-0.0119,0.0167,1.0178
50,-0.0223,0.0063,1.0440
51,-0.0140,0.0063,1.0389
52,-0.0096,0.0205,1.0275
53,-0.0004,0.0324,1.0168
54,-0.0137,0.0183,1.0292
55,-0.0224,0.0033,1.0466
56,-0.0128,0.0021,1.0393
57,-0.0009,0.0094,1.0254
58,-0.0020,0.0192,1.0204
59,-0.0001,0.0172,1.0278
60,-0.0163,0.0054,1.0530
61,-0.0196,0.0011,1.0529
62,-0.0159,0.0062,1.0287
63,-0.0097,0.0165,1.0215
64,-0.0153,0.0135,1.0251
65,-0.0124,0.0131,1.0352
66,-0.0103,0.0045,1.0486
67,-0.0151,0.0209,1.0327
68,-0.0087,0.0190,1.0216
69,-0.0107,0.0244,1.0163
70,-0.0111,0.0093,1.0385
71,-0.0139,0.0031,1.0435
72,-0.0185,0.0108,1.0368
73,-0.0151,0.0161,1.0292
74,-0.0089,0.0040,1.0374
75,-0.0034,0.0035,1.0286
76,-0.0101,0.0139,1.0255
77,-0.0142,0.0115,1.0371
78,-0.0159,0.0034,1.0473
79,-0.0001,0.0084,1.0429
80,-0.0192,0.0075,1.0224
