Sample,X,Y,Z
0,-0.0116,0.0232,0.7592
1,-0.0040,0.0059,1.0041
2,-0.0090,0.0185,1.0272
3,-0.0191,0.0189,1.0336
4,-0.0165,0.0092,1.0375
5,-0.0111,0.0149,1.0395
6,-0.0054,0.0059,1.0281
7,-0.0095,0.0140,1.0259
8,-0.0115,0.0165,1.0266
9,-0.0197,0.0143,1.0396
10,-0.0146,0.0077,1.0416
11,-0.0072,0.0145,1.0342
12,-0.0134,0.0269,1.0139
13,-0.0042,0.0197,1.0255
14,-0.0191,0.0146,1.0281
15,-0.0095,0.0053,1.0498
16,-0.0114,0.0062,1.0398
17,-0.0146,0.0118,1.0244
18,-0.0176,0.0119,1.0229
19,-0.0157,0.0124,1.0366
20,-0.0034,0.0157,1.0373
21,-0.0136,0.0241,1.0317
22,-0.0112,0.0211,1.0330
23,-0.0234,0.0187,1.0278
24,-0.0082,0.0167,1.0342
25,-0.0105,0.0201,1.0337
26,-0.0066,0.0193,1.0281
27,-0.0117,0.0160,1.0291
28,-0.0250,0.0234,1.0381
29,-0.0087,0.0206,1.0344
30,-0.0065,0.0214,1.0440
31,-0.0150,0.0130,1.0264
32,-0.0062,0.0223,1.0339
33,-0.0130,0.0199,1.0229
34,-0.0184,0.0148,1.0401
35,0.0034,0.0093,1.0397
36,-0.0115,0.0121,1.0356
37,-0.0163,0.0153,1.0231
38,-0.0102,0.0146,1.0345
39,-0.0001,0.0080,1.0388
40,-0.0060,0.0209,1.0271
41,-0.0041,0.0135,1.0354
42,-0.0131,0.0139,1.0390
43,-0.0029,0.0190,1.0480
44,-0.0099,0.0171,1.0226
45,-0.0171,0.0349,1.0188
46,-0.0068,0.0167,1.0261
47,-0.0171,0.0057,1.0444
48,-0.0223,0.0097,1.0424
49,-0.0060,0.0168,1.0240
50,-0.0145,0.0283,1.0124
51,-0.0070,0.0143,1.0393
52,-0.0154,0.0028,1.0456
53,-0.0163,0.0132,1.0377
54,-0.0042,0.0293,1.0143
55,-0.0078,0.0214,1.0426
56,-0.0091,0.0256,1.0441
57,-0.0146,0.0134,1.0314
58,-0.0220,0.0233,1.0168
59,-0.0157,0.0140,1.0392
60,0.0001,0.0006,1.0504
61,-0.0186,0.0151,1.0444
62,-0.0184,0.0247,1.0090
63,-0.0162,0.0307,1.0232
64,-0.0097,0.0036,1.0461
65,-0.0082,0.0032,1.0535
66,-0.0112,0.0295,1.0167
67,-0.0092,0.0258,1.0117
68,-0.0204,0.0234,1.0275
69,-0.0159,0.0090,1.0532
70,-0.0107,0.0132,1.0378
71,-0.0036,0.0259,1.0256
72,-0.0136,0.0228,1.0212
73,-0.0129,0.0223,1.0391
74,-0.0085,0.0102,1.0417
75,0.0043,0.0108,1.0297
76,-0.0051,0.0201,1.0250
77,-0.0244,0.0115,1.0314
78,-0.0076,0.0098,1.0416
79,-0.0001,0.0062,1.0344
80,0.0008,0.0173,1.0186
81,-0.0048,0.0132,1.0028
82,-0.0234,0.0154,1.0269
83,-0.0073,0.0070,1.0427
84,-0.0076,0.0087,1.0386
85,-0.0039,0.0131,1.0407
86,-0.0065,0.0354,1.0171
87,-0.0254,0.0179,1.0191
88,-0.0239,0.0144,1.0403
89,0.0078,0.0139,1.0503
90,-0.0005,0.0110,1.0352
91,-0.0101,0.0211,1.0143
92,-0.0295,0.0146,1.0261
93,-0.0196,-0.0004,1.0518
94,-0.0036,0.0106,1.0453
95,-0.0085,0.0192,1.0236
96,-0.0111,0.0274,1.0147
97,-0.0140,0.0170,1.0376
98,-0.0196,0.0048,1.0519
99,-0.0157,0.0158,1.0346
100,0.0084,0.0176,1.0437
101,-0.0053,0.0231,1.0185
102,-0.0133,0.0134,1.0320
103,-0.0151,0.0082,1.0378
104,-0.0211,-0.0039,1.0405
105,-0.0074,0.0110,1.0248
106,-0.0087,0.0125,1.0357
107,-0.0125,0.0223,1.0270
108,-0.0110,0.0178,1.0226
109,-0.0162,0.0057,1.0294
110,-0.0104,0.0058,1.0389
111,0.0014,0.0106,1.0473
112,-0.0057,0.0204,1.0278
113,-0.0196,0.0166,1.0118
114,-0.0063,0.0130,1.0203
115,-0.0168,-0.0105,1.0654
116,0.0485,-0.0007,1.0405
117,0.3028,0.0248,0.9974
118,0.3381,0.0471,1.0344
119,0.2823,0.0485,1.0844
120,0.2023,0.1501,1.1360
121,0.2023,0.1501,1.1360
122,0.2215,0.2661,1.0550
123,0.3062,0.3492,0.9631
124,0.3694,0.2891,0.9202
125,0.2747,0.1323,0.9659
126,0.0256,0.0430,1.0623
127,-0.1313,0.0540,1.0951
128,-0.1091,0.1860,1.0552
129,-0.0687,0.2812,0.9717
130,-0.0859,0.2894,0.9434
131,-0.1380,0.2271,1.0035
132,-0.1954,0.1669,1.1103
133,-0.1179,0.1347,1.1465
134,0.0312,0.1836,1.0589
135,0.1455,0.1945,0.9578
136,0.2437,0.1140,0.9839
137,0.3239,0.0438,1.1094
138,0.4084,0.1088,1.0869
139,0.3765,0.2217,0.9663
140,0.2534,0.2938,0.8652
141,0.2102,0.1755,0.9294
142,0.1779,-0.0003,1.0748
143,0.1922,-0.0958,1.0740
144,0.2043,-0.0962,1.0121
145,0.1912,-0.0228,1.0426
146,0.0862,0.0618,1.1191
147,-0.1560,0.1572,1.1313
148,-0.3740,0.2073,1.0289
149,-0.3802,0.1779,0.9695
150,-0.2582,0.0906,0.9871
151,-0.0581,-0.0043,0.9930
152,0.1170,-0.0367,0.9759
153,0.1608,-0.0969,1.0874
154,0.0452,-0.1060,1.2161
155,0.0453,0.0130,1.1751
156,0.2575,0.1867,0.9590
157,0.5020,0.3068,0.7572
158,0.7542,0.2410,0.7874
159,0.6431,0.0692,1.0846
160,0.0412,-0.0651,1.3272
161,-0.3199,-0.0290,1.3084
162,-0.2679,0.1697,1.0411
163,0.1850,0.2584,0.7600
164,0.5648,0.2379,0.6516
165,0.0665,0.0732,0.9258
166,-0.5344,-0.0466,1.2169
167,-0.5466,-0.0587,1.4431
168,0.0239,0.1211,1.3223
169,0.6329,0.2675,0.8555
170,0.1479,0.2704,0.6285
171,-0.6617,0.1011,0.8555
172,-0.6396,-0.0229,1.3650
173,0.1904,0.1777,1.4392
174,1.0078,0.4814,0.8583
175,0.7189,0.4855,0.4607
176,-0.0088,0.0158,0.9129
177,-0.1843,-0.2130,1.5309
178,0.4222,0.0490,1.3199
179,0.8157,0.3584,0.7294
180,0.4900,0.6263,0.2385
181,-0.0346,-0.0078,1.0364
182,-0.2835,-0.2032,1.8890
183,-0.0272,-0.1353,1.4963
184,0.3512,0.2496,0.5804
185,0.0680,0.3845,0.2059
186,-0.6752,-0.1631,1.1597
187,-0.8514,-0.1660,1.6122
188,-0.1237,-0.0867,1.2610
189,0.5947,0.2736,0.8235
190,0.4004,0.2584,0.7350
