Sample,X,Y,Z
0,-0.0212,0.0245,0.4100
1,-0.0117,0.0094,0.9943
2,-0.0198,0.0125,1.0287
3,0.0004,0.0136,1.0310
4,-0.0193,0.0143,1.0251
5,-0.0125,0.0044,1.0254
6,-0.0082,0.0019,1.0303
7,-0.0164,0.0082,1.0326
8,-0.0112,0.0128,1.0325
9,-0.0130,0.0116,1.0186
10,-0.0118,0.0020,1.0359
11,-0.0118,0.0089,1.0452
12,-0.0159,0.0110,1.0457
13,-0.0173,0.0168,1.0220
14,-0.0002,0.0145,1.0257
15,-0.0060,0.0085,1.0352
16,-0.0073,0.0123,1.0390
17,-0.0228,0.0081,1.0327
18,-0.0255,0.0057,1.0351
19,-0.0001,0.0178,1.0256
20,0.0202,0.0070,1.0287
21,0.0002,0.0151,1.0225
22,-0.0134,0.0087,1.0280
23,-0.0200,0.0077,1.0426
24,-0.0112,0.0140,1.0391
25,-0.0160,0.0172,1.0166
26,-0.0098,0.0073,1.0273
27,-0.0031,0.0085,1.0415
28,-0.0097,0.0051,1.0427
29,-0.0181,0.0129,1.0320
30,-0.0120,0.0134,1.0198
31,-0.0079,0.0117,1.0248
32,-0.0114,0.0060,1.0335
33,-0.0181,0.0091,1.0328
34,-0.0107,0.0135,1.0234
35,-0.0088,0.0146,1.0355
36,-0.0063,0.0074,1.0379
37,-0.0095,0.0144,1.0247
38,-0.0166,0.0088,1.0236
39,-0.0001,0.0186,1.0287
40,-0.0045,0.0126,1.0461
41,-0.0045,0.0209,1.0383
42,-0.0129,0.0085,1.0312
43,-0.0176,0.0092,1.0248
44,-0.0095,-0.0038,1.0369
45,-0.0132,0.0142,1.0372
46,-0.0077,0.0108,1.0374
47,-0.0124,0.0124,1.0209
48,-0.0161,0.0133,1.0272
49,0.0027,0.0084,1.0389
50,-0.0012,0.0109,1.0349
51,-0.0080,0.0154,1.0190
52,-0.0262,0.0112,1.0242
53,-0.0216,-0.0002,1.0414
54,-0.0055,0.0004,1.0438
55,-0.0063,0.0180,1.0229
56,-0.0067,0.0182,1.0247
57,-0.0251,0.0070,1.0413
58,-0.0251,-0.0033,1.0649
59,-0.0001,0.0078,1.0365
60,-0.0046,0.0244,1.0241
61,-0.0018,0.0183,1.0203
62,-0.0068,-0.0013,1.0488
63,-0.0280,-0.0011,1.0600
64,-0.0256,0.0073,1.0338
65,-0.0139,0.0110,1.0092
66,0.0021,0.0158,1.0269
67,-0.0038,0.0170,1.0332
68,-0.0328,0.0123,1.0366
