Sample,X,Y,Z
0,-0.0187,0.0304,1.1020
1,-0.0193,0.0041,1.0232
2,-0.0063,0.0128,1.0439
3,-0.0073,0.0262,1.0293
4,0.0033,0.0292,1.0136
5,-0.0071,0.0246,1.0171
6,-0.0229,0.0079,1.0427
7,-0.0063,0.0057,1.0499
8,-0.0084,0.0199,1.0264
9,-0.0088,0.0231,1.0132
10,-0.0117,0.0161,1.0197
11,-0.0311,0.0090,1.0428
12,-0.0203,0.0154,1.0507
13,-0.0044,0.0179,1.0362
14,-0.0105,0.0295,1.0223
15,-0.0150,0.0245,1.0278
16,-0.0187,0.0182,1.0377
17,-0.0118,0.0212,1.0302
18,-0.0015,0.0192,1.0314
19,-0.0001,0.0208,1.0294
20,-0.0087,0.0095,1.0325
21,-0.0200,0.0139,1.0491
22,-0.0133,0.0168,1.0255
23,-0.0097,0.0239,1.0107
24,-0.0112,0.0114,1.0295
25,-0.0165,0.0110,1.0408
26,-0.0140,0.0082,1.0427
27,-0.0074,0.0138,1.0326
28,-0.0112,0.0178,1.0231
29,-0.0078,0.0240,1.0236
30,-0.0118,0.0205,1.0319
31,-0.0140,0.0175,1.0314
32,-0.0107,0.0195,1.0350
33,-0.0101,0.0167,1.0298
34,-0.0085,0.0116,1.0292
35,-0.0059,0.0214,1.0260
36,-0.0175,0.0176,1.0329
37,-0.0126,0.0096,1.0290
38,-0.0094,0.0068,1.0346
39,-0.0001,0.0187,1.0381
40,-0.0198,0.0248,1.0057
41,-0.0063,0.0220,1.0153
42,-0.0083,0.0011,1.0324
43,-0.0077,-0.0010,1.0379
44,-0.0145,0.0046,1.0359
45,-0.0076,0.0215,1.0326
46,-0.0178,0.0241,1.0352
47,-0.0095,0.0339,1.0281
48,-0.0103,0.0256,1.0219
49,-0.0178,0.0081,1.0234
50,0.0001,-0.0066,1.0396
51,0.0013,0.0075,1.0441
52,-0.0077,0.0292,1.0314
53,-0.0114,0.0193,1.0208
54,-0.0164,0.0119,1.0277
55,-0.0046,-0.0026,1.0368
56,-0.0034,0.0111,1.0349
57,-0.0096,0.0175,1.0188
58,-0.0297,0.0123,1.0308
59,-0.0157,0.0091,1.0500
60,-0.0119,0.0313,1.0441
61,0.0004,0.0332,1.0121
62,-0.0134,0.0265,1.0137
63,-0.0222,0.0019,1.0397
64,-0.0198,-0.0034,1.0537
65,-0.0110,0.0195,1.0189
