Sample,X,Y,Z
0,-0.0366,0.0083,0.4200
1,-0.0060,0.0075,1.0280
2,-0.0133,0.0161,1.0248
3,-0.0051,0.0173,1.0172
4,-0.0154,0.0172,1.0248
5,0.0021,0.0030,1.0391
6,-0.0222,0.0085,1.0390
7,-0.0178,0.0168,1.0211
8,-0.0038,0.0109,1.0266
9,-0.0085,0.0080,1.0379
10,-0.0041,0.0097,1.0381
11,-0.0251,0.0237,1.0261
12,-0.0137,0.0120,1.0266
13,-0.0003,0.0139,1.0390
14,-0.0109,0.0062,1.0386
15,-0.0270,0.0154,1.0311
16,-0.0127,0.0193,1.0257
17,-0.0099,0.0186,1.0291
18,-0.0049,-0.0018,1.0336
19,-0.0001,0.0115,1.0208
20,-0.0063,0.0133,1.0156
21,-0.0170,0.0161,1.0295
22,-0.0055,0.0085,1.0426
23,-0.0043,0.0251,1.0244
24,0.0027,0.0275,0.9911
25,-0.0103,0.0127,1.0209
26,-0.0215,-0.0034,1.0467
27,-0.0235,-0.0085,1.0595
28,-0.0181,0.0132,1.0335
29,0.0059,0.0204,1.0146
30,-0.0026,0.0145,1.0252
31,-0.0231,0.0095,1.0391
32,-0.0283,0.0052,1.0478
33,-0.0106,0.0189,1.0222
34,0.0094,0.0107,1.0270
35,-0.0054,0.0112,1.0270
36,-0.0164,0.0069,1.0297
37,-0.0259,0.0135,1.0187
38,-0.0066,0.0180,1.0388
39,-0.0001,0.0122,1.0307
40,-0.0028,0.0146,1.0374
41,0.0000,0.0207,1.0225
42,-0.0198,0.0129,1.0449
43,-0.0116,0.0062,1.0556
44,-0.0022,0.0150,1.0401
45,-0.0062,0.0140,1.0164
46,-0.0067,0.0167,1.0229
47,-0.0234,-0.0065,1.0522
48,-0.0154,-0.0016,1.0547
49,-0.0121,0.0042,1.0295
50,-0.0084,0.0157,1.0112
51,-0.0124,0.0192,1.0179
52,-0.0163,-0.0009,1.0449
53,-0.0222,0.0148,1.0499
54,-0.0134,0.0297,1.0206
55,-0.0090,0.0281,1.0163
56,-0.0032,0.0106,1.0286
57,-0.0097,0.0019,1.0417
58,-0.0137,0.0098,1.0300
59,-0.0001,0.0110,1.0268
60,-0.0056,0.0057,1.0283
61,-0.0130,-0.0015,1.0460
62,-0.0175,0.0121,1.0267
63,-0.0068,0.0182,1.0176
64,-0.0181,0.0099,1.0375
65,-0.0197,0.0079,1.0325
66,-0.0181,0.0074,1.0330
67,-0.0060,0.0248,1.0237
68,0.0007,0.0178,1.0325
69,-0.0226,0.0133,1.0349
70,-0.0152,-0.0034,1.0328
71,-0.0184,0.0104,1.0117
72,-0.0021,0.0137,1.0266
73,-0.0140,0.0050,1.0346
74,-0.0134,0.0023,1.0402
75,-0.0152,0.0065,1.0342
76,-0.0139,0.0120,1.0270
77,-0.0161,0.0178,1.0316
78,-0.0100,0.0010,1.0347
