Sample,X,Y,Z
0,-0.0095,0.0211,0.7461
1,-0.0039,0.0053,1.0088
2,-0.0196,0.0149,1.0154
3,-0.0389,0.0110,1.0428
4,0.0048,0.0005,1.0414
5,0.0268,0.0079,1.0233
6,0.0118,0.0104,1.0206
7,-0.0095,0.0009,1.0231
8,-0.0275,0.0173,1.0233
9,-0.0269,0.0256,1.0396
10,0.0139,0.0092,1.0389
11,0.0126,0.0131,1.0148
12,-0.0182,0.0076,1.0098
13,-0.0248,0.0006,1.0283
14,-0.0041,0.0057,1.0432
15,-0.0111,0.0157,1.0403
16,0.0084,-0.0021,1.0447
17,0.0048,-0.0056,1.0305
18,-0.0096,0.0001,1.0139
19,-0.0157,0.0004,1.0288
20,0.0102,0.0057,1.0281
21,-0.0046,0.0233,1.0103
22,0.0015,0.0085,1.0291
23,-0.0181,0.0183,1.0316
24,0.0051,0.0095,1.0271
25,-0.0070,0.0197,1.0248
26,-0.0134,0.0099,1.0265
27,-0.0222,0.0246,1.0210
28,-0.0016,0.0164,1.0361
29,-0.0007,0.0104,1.0353
30,0.0056,-0.0051,1.0209
31,-0.0294,0.0114,1.0123
32,-0.0403,0.0058,1.0413
33,-0.0103,0.0104,1.0488
34,0.0178,0.0095,1.0342
35,0.0063,-0.0037,1.0302
36,-0.0052,-0.0087,1.0167
37,-0.0356,0.0235,1.0126
38,-0.0156,0.0187,1.0362
39,0.0000,0.0009,1.0420
40,0.0317,0.0008,1.0109
41,0.0087,0.0092,1.0081
42,-0.0128,0.0014,1.0211
43,-0.0352,0.0131,1.0269
44,-0.0341,0.0043,1.0334
45,0.0118,0.0038,1.0344
46,0.0203,0.0031,1.0170
47,-0.0040,0.0063,1.0307
48,-0.0259,0.0037,1.0354
49,-0.0117,0.0009,1.0311
50,-0.0122,0.0052,1.0379
51,0.0143,0.0021,1.0310
52,0.0046,0.0045,1.0200
53,-0.0139,0.0046,1.0157
54,-0.0124,0.0101,1.0278
55,-0.0076,0.0101,1.0271
56,-0.0195,0.0258,1.0251
57,-0.0004,0.0019,1.0358
58,-0.0042,0.0056,1.0202
59,0.0000,0.0040,1.0214
