Sample,X,Y,Z
0,-0.0103,0.0268,1.0795
1,-0.0158,0.0034,1.0180
2,-0.0117,0.0094,1.0374
3,0.0046,-0.0010,1.0280
4,0.0011,-0.0051,1.0168
5,0.0067,-0.0065,1.0175
6,-0.0102,0.0070,1.0240
7,-0.0170,0.0058,1.0449
8,-0.0178,-0.0009,1.0306
9,0.0131,-0.0080,1.0215
10,0.0060,0.0020,1.0168
11,0.0063,-0.0022,1.0249
12,-0.0176,0.0099,1.0234
13,-0.0237,0.0038,1.0462
14,-0.0051,0.0019,1.0301
15,0.0198,-0.0007,1.0281
16,0.0148,0.0009,1.0070
17,0.0040,-0.0003,1.0181
18,-0.0121,0.0012,1.0242
19,-0.0001,0.0046,1.0464
20,0.0146,-0.0029,1.0400
21,0.0038,-0.0056,1.0378
22,0.0016,0.0018,1.0168
23,0.0011,0.0058,1.0267
24,-0.0021,0.0123,1.0193
25,-0.0190,0.0092,1.0378
26,-0.0004,0.0030,1.0365
27,0.0020,0.0106,1.0253
28,0.0069,-0.0002,1.0173
29,-0.0160,0.0038,1.0264
30,-0.0181,-0.0003,1.0183
31,-0.0219,0.0065,1.0335
32,0.0020,0.0012,1.0344
33,0.0013,-0.0002,1.0330
34,-0.0115,0.0002,1.0141
35,-0.0237,0.0083,1.0231
36,-0.0083,0.0076,1.0305
37,-0.0198,0.0177,1.0383
38,0.0009,0.0026,1.0320
39,-0.0001,0.0082,1.0339
40,0.0200,-0.0013,1.0053
41,-0.0043,0.0126,1.0216
42,-0.0149,0.0104,1.0428
43,-0.0190,0.0138,1.0324
44,-0.0004,0.0023,1.0280
45,0.0000,0.0127,1.0215
46,0.0050,0.0073,1.0261
47,-0.0291,0.0158,1.0344
48,-0.0116,0.0091,1.0444
49,-0.0156,0.0173,1.0408
50,0.0044,0.0007,1.0225
51,-0.0002,0.0060,1.0261
52,-0.0061,0.0019,1.0206
53,-0.0245,0.0125,1.0334
54,-0.0107,0.0107,1.0464
55,-0.0121,0.0154,1.0349
56,0.0000,0.0055,1.0233
57,-0.0071,0.0132,1.0264
58,0.0062,0.0085,1.0244
59,-0.0157,0.0181,1.0303
60,0.0095,0.0144,1.0630
61,-0.0027,0.0139,1.0544
62,0.0036,0.0065,1.0196
63,0.0038,0.0045,1.0219
64,-0.0040,0.0042,1.0264
65,-0.0282,0.0128,1.0280
66,-0.0165,0.0151,1.0464
67,-0.0131,0.0108,1.0354
68,-0.0039,0.0107,1.0172
69,-0.0090,0.0042,1.0146
70,-0.0079,0.0057,1.0193
71,-0.0078,0.0170,1.0239
72,-0.0149,0.0176,1.0411
73,-0.0118,0.0104,1.0439
74,-0.0111,0.0140,1.0241
75,-0.0060,0.0104,1.0133
76,-0.0120,0.0075,1.0264
77,-0.0112,0.0102,1.0262
78,-0.0179,0.0188,1.0330
79,-0.0001,0.0055,1.0352
80,-0.0012,0.0143,1.0239
81,0.0107,0.0139,1.0031
82,-0.0032,0.0114,1.0256
83,-0.0222,0.0101,1.0373
84,-0.0264,0.0204,1.0372
85,0.0006,0.0041,1.0378
86,0.0108,0.0050,1.0300
87,0.0036,0.0063,1.0162
88,-0.0239,0.0040,1.0188
89,-0.0136,-0.0023,1.0307
90,-0.0234,0.0184,1.0357
91,-0.0015,0.0059,1.0273
92,-0.0026,0.0126,1.0190
93,0.0012,-0.0019,1.0232
94,-0.0059,0.0098,1.0278
95,-0.0126,0.0131,1.0394
96,-0.0317,0.0137,1.0349
97,-0.0038,0.0018,1.0366
98,-0.0037,0.0067,1.0147
99,-0.0001,0.0131,1.0232
100,-0.0251,0.0234,1.0181
101,-0.0195,0.0112,1.0366
102,-0.0124,0.0213,1.0393
103,0.0076,0.0108,1.0361
104,-0.0107,0.0151,1.0221
105,-0.0027,0.0085,1.0222
106,-0.0109,0.0130,1.0326
107,-0.0110,0.0131,1.0383
108,-0.0150,0.0214,1.0252
109,-0.0018,0.0060,1.0295
110,-0.0134,0.0036,1.0254
111,0.0029,0.0054,1.0183
112,-0.0165,0.0143,1.0332
113,-0.0110,0.0013,1.0435
114,-0.0038,0.0048,1.0389
115,0.0372,0.0028,1.0175
116,0.2116,-0.0053,0.9996
117,0.3213,0.0300,1.0494
118,0.2671,0.0370,1.0446
119,0.1882,0.0598,1.0535
120,0.2267,0.0618,1.0520
121,0.3590,0.0585,1.0251
122,0.3691,0.0866,0.9780
123,0.2507,0.0902,0.9877
124,0.1361,0.1374,1.0673
125,0.0923,0.2102,1.1177
126,0.0418,0.2600,1.1023
127,0.0148,0.2996,1.0537
128,-0.0999,0.3135,0.9537
129,-0.2767,0.2930,0.8840
130,-0.2974,0.2283,0.9316
131,-0.1522,0.1816,0.9978
132,-0.0834,0.1845,0.9948
133,-0.0376,0.1891,0.9852
134,0.0294,0.1816,1.0624
135,0.1799,0.1717,1.1254
136,0.4193,0.1784,1.1462
137,0.5026,0.1865,1.1269
138,0.4888,0.1743,1.0770
139,0.3922,0.1745,0.9595
140,0.3415,0.1088,0.9040
141,0.2555,0.0638,0.9374
142,0.1688,0.0746,0.9312
143,0.0930,0.1413,0.9294
144,0.1858,0.1559,1.0221
145,0.2042,0.1697,1.1299
146,-0.0181,0.1879,1.1295
147,-0.3080,0.1221,1.0707
148,-0.4067,0.0219,1.0371
149,-0.3291,-0.0262,0.9825
150,-0.1653,-0.0706,0.9029
151,-0.0157,-0.0762,0.9150
152,0.0679,-0.0331,1.0147
153,-0.0078,0.0812,1.0934
154,-0.0048,0.1078,1.1817
155,0.1648,0.0435,1.2169
156,0.4053,0.0048,1.0789
157,0.5479,-0.0012,0.9073
158,0.4821,0.0334,0.9075
159,0.1882,0.0929,1.0178
160,0.0767,0.1553,1.0740
161,0.0671,0.1530,1.1326
162,0.2220,0.1338,1.0845
163,0.3292,0.1417,0.9459
164,0.0213,0.1749,0.9282
165,-0.3209,0.0963,0.9401
166,-0.2310,0.0074,1.0410
167,0.1697,-0.0254,1.0765
168,0.3802,0.0281,1.0340
169,-0.1208,0.1343,1.0339
170,-0.7217,0.1937,1.0020
171,-0.3824,0.1466,1.1262
172,0.6154,0.1359,1.1856
173,0.6979,0.1066,1.0200
174,0.0682,0.1075,0.8765
175,-0.4179,0.0862,0.7837
176,0.0324,0.0356,1.0305
177,1.1130,0.0837,1.2340
178,0.5986,0.2469,1.1013
179,-0.1569,0.3190,0.8721
180,-0.2491,0.3035,0.9391
181,0.3613,0.2010,1.1940
182,0.6711,0.1927,1.1871
183,0.2043,0.0529,0.9642
184,-0.2102,0.0912,0.8076
185,-0.4076,0.1892,0.8933
186,-0.0613,0.1951,1.0937
187,0.2466,0.1135,1.1717
188,0.2441,0.1462,1.0815
189,-0.3052,0.2490,0.9102
190,-0.4523,0.1990,1.0219
191,0.2654,-0.0386,1.2305
192,0.5334,-0.0589,1.0683
193,-0.1311,-0.1212,0.8374
194,-0.1047,-0.0070,0.8432
195,0.2816,0.1359,1.1044
196,0.4892,0.1592,1.1087
197,0.4462,-0.0133,1.1896
198,0.1645,0.0131,1.0793
199,-0.0942,0.1334,0.9316
200,0.1384,0.0798,1.0567
201,0.3353,-0.0098,1.2578
202,0.1168,0.0256,0.8629
203,-0.0705,0.0972,0.7509
204,-0.2896,0.1252,1.1135
205,-0.1958,0.2041,1.2276
206,0.1048,0.2274,1.0903
207,0.2537,0.1589,1.1113
208,0.0888,0.1816,0.8694
