Sample,X,Y,Z
0,0.0116,0.0101,1.1101
1,0.0056,-0.0024,1.0114
2,-0.0038,0.0016,1.0149
3,0.0090,-0.0053,1.0176
4,-0.0090,0.0024,1.0276
5,-0.0217,0.0146,1.0386
6,-0.0023,0.0104,1.0366
7,0.0180,-0.0012,1.0333
8,0.0005,0.0101,1.0182
9,-0.0091,0.0054,1.0164
10,-0.0092,0.0119,1.0239
11,-0.0110,0.0049,1.0451
12,0.0003,0.0094,1.0298
13,0.0032,0.0023,1.0296
14,-0.0073,-0.0085,1.0236
15,-0.0046,-0.0007,1.0244
16,-0.0044,0.0068,1.0242
17,-0.0297,0.0092,1.0342
18,-0.0151,0.0046,1.0271
19,0.0000,-0.0028,1.0232
20,0.0207,-0.0006,1.0139
21,-0.0061,0.0092,1.0186
22,-0.0166,0.0167,1.0242
23,-0.0193,0.0101,1.0432
24,0.0162,-0.0013,1.0380
25,0.0076,0.0093,1.0228
26,0.0016,0.0011,1.0148
27,-0.0154,0.0072,1.0267
28,-0.0013,0.0108,1.0328
29,-0.0112,0.0170,1.0419
30,-0.0032,0.0015,1.0359
31,-0.0116,-0.0022,1.0217
32,0.0013,-0.0042,1.0175
33,-0.0037,0.0092,1.0251
34,-0.0154,0.0087,1.0432
35,-0.0153,0.0031,1.0350
36,0.0118,-0.0043,1.0211
37,0.0053,-0.0072,1.0211
38,-0.0002,-0.0019,1.0121
39,-0.0157,0.0048,1.0206
40,-0.0017,0.0082,1.0427
41,0.0079,0.0165,1.0493
42,0.0114,0.0112,1.0347
43,-0.0062,0.0024,1.0232
44,-0.0043,-0.0039,1.0219
45,-0.0098,0.0102,1.0145
46,-0.0245,0.0116,1.0356
47,-0.0048,0.0079,1.0239
48,0.0065,0.0032,1.0226
49,-0.0043,0.0031,1.0125
50,0.0016,0.0056,1.0237
51,-0.0134,0.0040,1.0383
52,-0.0267,0.0107,1.0461
53,-0.0031,0.0032,1.0293
54,0.0034,-0.0014,1.0257
55,0.0084,-0.0006,1.0209
56,-0.0168,0.0028,1.0253
57,-0.0010,0.0003,1.0244
58,-0.0126,0.0144,1.0403
59,0.0000,0.0024,1.0327
60,0.0007,0.0062,1.0073
61,0.0173,-0.0035,1.0223
62,-0.0063,0.0031,1.0257
63,-0.0117,0.0082,1.0280
64,-0.0312,0.0182,1.0416
65,-0.0024,-0.0040,1.0421
66,0.0029,-0.0004,1.0334
67,0.0149,-0.0065,1.0112
68,-0.0103,0.0133,1.0221
69,-0.0142,0.0003,1.0380
70,-0.0228,0.0075,1.0386
71,0.0073,0.0030,1.0264
72,-0.0041,0.0048,1.0294
73,-0.0023,0.0000,1.0145
74,-0.0278,0.0057,1.0256
75,-0.0224,0.0044,1.0453
76,-0.0090,0.0195,1.0290
77,0.0073,0.0038,1.0244
78,-0.0097,-0.0016,1.0088
79,0.0000,0.0048,1.0206
80,-0.0162,0.0109,1.0337
81,-0.0234,0.0026,1.0400
82,-0.0072,0.0057,1.0297
83,0.0079,0.0026,1.0271
84,0.0024,0.0051,1.0241
85,-0.0082,-0.0031,1.0402
86,-0.0126,0.0088,1.0289
87,-0.0166,0.0132,1.0332
88,-0.0058,0.0070,1.0300
89,-0.0031,0.0078,1.0291
90,0.0001,0.0002,1.0211
91,-0.0074,0.0043,1.0249
92,0.0029,0.0075,1.0203
93,-0.0325,0.0161,1.0383
94,-0.0026,-0.0016,1.0369
95,0.0041,-0.0026,1.0342
96,0.0053,-0.0002,1.0070
97,-0.0073,-0.0010,1.0223
98,-0.0126,0.0073,1.0450
99,-0.0157,0.0084,1.0424
100,0.0134,-0.0012,1.0392
101,0.0176,0.0031,1.0125
102,0.0142,-0.0010,1.0010
103,-0.0244,0.0114,1.0306
104,-0.0217,0.0075,1.0444
105,-0.0229,0.0104,1.0447
106,0.0102,0.0006,1.0212
107,0.0031,0.0067,1.0101
108,0.0031,-0.0036,1.0110
109,-0.0189,0.0158,1.0231
110,-0.0122,0.0089,1.0422
111,-0.0078,0.0163,1.0259
112,0.0103,-0.0011,1.0273
113,-0.0060,-0.0045,1.0182
114,0.0016,0.0038,1.0219
115,-0.0172,0.0013,1.0300
116,-0.0292,0.0095,1.0219
117,-0.0110,0.0179,1.0256
118,0.0219,0.0097,1.0342
119,0.0000,0.0198,1.0494
120,0.0021,0.0649,1.0320
121,0.0015,0.0881,1.0070
122,-0.0111,0.0695,1.0367
123,-0.0232,0.0615,1.0223
124,-0.0435,0.0809,1.0488
125,-0.0347,0.1394,1.0630
126,-0.0200,0.2509,1.0604
127,0.0183,0.3450,1.0654
128,0.0118,0.3974,1.0143
129,0.0244,0.3405,0.9807
130,0.0062,0.2686,0.9265
131,-0.0060,0.2120,0.9022
132,-0.0066,0.1735,0.9336
133,0.0517,0.1561,0.9916
134,0.0491,0.1679,1.0471
135,0.0434,0.1377,1.0975
136,0.0112,0.1289,1.1509
137,0.0165,0.1414,1.1832
138,-0.0180,0.1596,1.1354
139,-0.0157,0.1235,1.0616
140,-0.0356,0.0676,0.9441
141,-0.0126,0.0121,0.8663
142,-0.0380,0.0028,0.8900
143,-0.0103,0.0400,0.9330
144,0.0122,0.1155,1.0124
145,0.0350,0.1657,1.0635
146,0.0265,0.1768,1.1035
147,0.0181,0.1523,1.1004
148,-0.0173,0.0884,1.0637
149,-0.0164,0.0202,1.0086
150,-0.0406,-0.0319,0.9802
151,-0.0524,-0.0532,0.9866
152,-0.0286,-0.0367,0.9900
153,0.0078,0.0145,1.0298
154,0.0266,0.0700,1.1051
155,0.0256,0.1211,1.1210
156,0.0057,0.0745,1.1157
157,-0.0234,-0.0027,1.0629
158,-0.0491,-0.0641,1.0085
159,-0.0471,-0.0287,0.9647
160,0.0058,0.0536,0.9600
161,0.0475,0.1462,0.9997
162,0.0397,0.1937,1.0310
163,-0.0165,0.1951,1.0330
164,-0.0480,0.1501,1.0496
165,-0.0483,0.1345,1.0014
166,-0.0048,0.1401,0.9497
167,0.0292,0.1420,0.9332
168,-0.0036,0.1235,0.9880
169,-0.0319,0.1376,1.0721
170,-0.0339,0.1760,1.1409
171,-0.0063,0.2332,1.1297
172,0.0452,0.2600,1.0718
173,0.0343,0.2475,1.0081
174,-0.0060,0.1896,0.9767
175,-0.0458,0.1112,0.9323
176,0.0018,0.0596,0.9260
177,0.0159,0.0778,0.9661
178,0.0334,0.1664,1.0242
179,0.0471,0.2317,1.0821
180,0.0864,0.2101,1.0930
181,0.0216,0.1377,1.1085
182,-0.0432,0.0769,1.0944
183,-0.0519,0.0181,1.0439
184,0.0107,-0.0101,0.9512
185,-0.0032,-0.0157,0.9229
186,-0.0006,0.0327,0.9606
187,0.0310,0.0993,1.0459
188,0.0319,0.1355,1.1243
189,-0.0344,0.1435,1.1534
190,-0.0222,0.1130,1.0840
191,0.0057,0.0408,0.9632
192,-0.0398,-0.0139,0.9210
193,-0.0720,-0.0229,0.9598
194,-0.0300,0.0259,0.9517
195,0.0281,0.0663,1.0246
196,0.0414,0.1152,1.0772
197,-0.0024,0.1212,1.1266
198,-0.0436,0.1068,1.0599
199,-0.0001,0.0643,1.0590
200,-0.0225,0.0881,1.0297
201,-0.0834,0.1193,1.0322
202,-0.0618,0.1076,1.0007
203,0.0175,0.1104,0.9844
204,-0.0107,0.1324,1.0248
205,-0.0654,0.1906,1.0948
206,-0.0253,0.2615,1.1176
207,0.0390,0.2722,1.0682
208,0.0495,0.2619,0.9637
209,0.0582,0.2036,0.8766
210,0.0019,0.1371,0.9221
211,-0.0078,0.1135,1.0229
212,-0.0175,0.1305,1.0753
213,0.0229,0.1508,1.0705
214,0.0818,0.1407,1.0166
215,0.0983,0.1043,1.0178
216,-0.0368,0.1003,1.0640
217,-0.0435,0.1101,1.1183
218,-0.0104,0.1122,1.1162
219,0.0157,0.1038,1.0322
220,0.0344,0.1213,0.9277
221,-0.0084,0.0989,0.9417
222,0.0099,0.1090,0.9669
223,-0.0151,0.1332,1.0725
224,-0.0471,0.1364,1.1129
225,0.0317,0.1198,1.0639
226,0.0034,0.0730,0.9926
227,-0.0364,0.0327,0.9611
228,-0.0443,0.0231,0.9807
229,-0.0242,0.0544,1.0195
230,0.0084,0.1118,1.1276
231,-0.0042,0.1801,1.1213
232,-0.0090,0.1918,1.0659
233,-0.0066,0.1528,0.9268
234,0.0032,0.0863,0.8999
235,-0.0332,0.0622,0.9476
236,-0.0570,0.0909,1.0332
237,0.0123,0.0938,1.0561
238,0.0421,0.0698,1.0573
239,0.0000,0.0918,1.0605
240,-0.0181,0.1732,1.0662
241,-0.0178,0.2272,1.1229
242,-0.0154,0.1785,1.1187
243,-0.0412,0.1709,1.0552
244,-0.0900,0.1170,0.9746
245,-0.0666,0.0801,0.9398
246,0.0092,0.0935,0.9531
247,-0.0056,0.2007,0.9294
248,-0.0198,0.2336,1.0284
249,0.0267,0.2706,1.0743
250,0.1052,0.2738,1.0660
251,0.0383,0.2169,0.9976
252,0.0080,0.0968,1.0270
253,0.0190,0.0453,0.9884
254,0.0798,0.0269,0.9384
255,0.0173,-0.0163,1.0215
256,-0.0895,0.0098,1.1015
257,-0.0212,0.0991,1.0708
258,0.1064,0.1516,1.0731
259,0.0157,0.1589,1.0908
260,-0.1213,0.1539,1.0654
261,-0.0502,0.1123,0.9731
262,0.0554,0.0186,0.9475
263,-0.0103,-0.0305,0.9434
264,-0.0974,-0.0151,0.9531
265,-0.0263,0.0408,0.9886
266,0.0813,0.1494,1.0948
267,0.0238,0.2502,1.1858
268,-0.0162,0.2786,1.1499
269,0.0358,0.1896,1.0986
270,-0.0183,0.0928,0.9542
271,-0.0972,-0.0224,0.9366
272,-0.0941,-0.0182,0.8448
273,-0.0444,0.0341,0.9504
274,0.0072,0.1479,1.0427
275,0.0428,0.2212,1.1567
276,0.0407,0.2270,1.1067
277,-0.0076,0.1438,1.1172
278,-0.0975,0.0869,1.0732
279,-0.0471,0.0825,0.9982
280,-0.0443,0.1292,0.9996
281,-0.0059,0.1936,1.0027
282,0.0801,0.2156,0.9668
283,0.0454,0.2129,0.9557
284,-0.0576,0.2290,1.0090
285,-0.0274,0.2278,1.0549
286,-0.0153,0.2594,1.0856
287,0.0555,0.2372,1.0909
288,0.0386,0.2355,1.0562
289,0.0148,0.1542,0.9269
290,-0.0364,0.0164,0.9879
291,-0.0584,0.0480,0.9593
292,-0.0024,0.0805,0.9762
293,0.0290,0.0701,1.0613
294,0.0665,0.1221,1.1110
295,0.0823,0.0373,1.0086
296,-0.0101,-0.0961,1.0518
297,-0.0619,-0.1050,1.0750
298,-0.0679,-0.0960,1.0210
299,-0.0314,-0.0286,1.0750
300,0.0361,0.0197,1.1286
301,0.0908,0.1058,1.0316
302,-0.0777,0.1393,1.0565
303,-0.1027,0.1423,0.9990
304,-0.0043,0.1823,0.9678
305,0.0280,0.2590,0.8549
306,-0.0234,0.1870,0.8795
307,-0.0483,0.1152,0.9665
308,-0.0513,0.1198,0.9542
309,-0.0316,0.0762,1.0331
310,0.0551,0.0978,1.1648
311,0.0786,0.1711,1.0405
312,-0.0024,0.0939,1.0986
313,-0.0530,-0.0045,1.0869
314,-0.0400,0.0106,1.1838
315,-0.0643,0.0981,1.0739
316,0.0223,0.1167,0.9978
317,0.0590,0.1664,0.8923
318,-0.0374,0.0991,0.9309
319,-0.0942,0.1165,0.9612
320,0.0099,0.1259,1.0561
321,0.0709,0.2022,1.0049
322,0.0827,0.1857,1.0394
323,0.0148,0.1661,0.9662
324,-0.0391,0.0963,0.9939
325,-0.0095,0.1005,1.0529
326,-0.0313,0.1541,1.1961
327,-0.0839,0.2455,1.1351
328,0.0966,0.2283,1.0413
329,0.1141,0.1140,0.9182
330,-0.0106,0.0280,0.8528
331,-0.0782,0.0134,0.9109
332,-0.0303,0.0358,1.0355
333,0.0538,0.1099,1.1228
334,0.1231,0.0798,1.1017
335,0.0080,0.0150,1.0574
336,-0.0505,-0.0137,1.0200
337,-0.0115,0.0082,1.0635
338,0.0195,0.0432,1.1210
339,-0.0785,0.0644,1.0913
340,-0.0016,0.0503,1.0290
341,-0.0234,0.0449,0.9427
342,0.0117,0.0936,0.9797
343,-0.0380,0.1817,1.0365
344,-0.0807,0.2827,1.0383
345,0.0122,0.2278,1.1123
346,0.0604,0.1292,1.0117
347,-0.0398,0.0798,0.9199
348,-0.0366,-0.0068,0.8774
349,-0.0228,-0.0482,0.9407
350,-0.0667,0.0592,0.9831
351,-0.0358,0.1107,1.0560
352,0.0453,0.1400,1.1359
353,0.1193,0.1152,1.0914
354,0.0663,0.1713,1.0478
355,-0.0834,0.0996,1.0355
356,-0.0728,0.0037,1.1341
357,0.0076,0.0404,1.0979
358,-0.0195,0.0660,0.9218
359,-0.0053,0.0836,1.0549
360,-0.0087,0.2488,0.9938
361,0.0493,0.3439,1.0073
362,0.0157,0.3547,1.0214
363,0.0102,0.2673,1.0820
364,-0.0126,0.2224,0.8806
365,0.0019,0.0685,0.8638
366,0.0192,-0.0798,0.8666
367,0.0478,-0.0918,0.9893
368,0.0187,0.0256,1.0747
369,-0.0242,-0.0396,1.1889
370,0.0353,-0.0041,1.2151
371,0.1051,0.0033,1.1388
372,0.0045,0.0677,1.0928
373,-0.1082,0.0505,1.0871
374,-0.0724,0.0358,0.9305
375,0.0576,0.0109,0.9199
376,0.0109,0.0571,0.9124
377,-0.1411,0.1298,0.9630
378,-0.1054,0.1927,0.9438
379,0.0354,0.2274,0.9520
380,0.0925,0.2176,1.1198
381,-0.0283,0.2244,1.1126
382,-0.0942,0.1641,0.9786
383,0.0394,0.0478,0.9952
384,0.0615,-0.0139,1.0436
385,-0.0598,0.0403,1.0896
386,-0.0058,0.0366,1.0137
387,0.0754,0.0513,1.1171
388,0.0663,0.0928,1.0595
389,-0.0350,0.1255,1.1069
390,-0.0456,0.1177,1.0400
391,-0.0341,0.1185,1.0446
392,-0.0236,0.0067,1.0247
393,-0.0374,-0.0044,0.9265
394,0.0122,0.0001,0.9332
395,0.0427,0.0810,1.0455
396,-0.0259,0.1136,1.0132
397,-0.0815,0.2029,1.0407
398,0.0827,0.2709,1.0427
399,0.1163,0.2644,1.0956
400,-0.0480,0.2278,1.0664
401,-0.1089,0.1830,0.9263
402,0.0784,0.1274,0.9451
403,0.0421,0.0922,1.0760
404,-0.0549,0.0630,1.0424
405,-0.0226,0.0422,1.0231
406,0.0526,0.1025,0.9272
407,0.0666,-0.0198,1.1101
408,0.0538,0.1246,1.0634
409,-0.0552,0.0013,0.9401
410,-0.0295,-0.0701,0.9424
411,0.0521,0.0137,1.1313
412,0.0598,0.0759,1.0384
413,-0.1639,0.1155,1.0488
414,-0.1187,0.0800,1.1834
415,-0.0159,0.1161,0.9979
416,0.0153,0.0957,0.9968
417,-0.0085,0.1155,1.0359
418,0.0414,0.1125,1.0369
419,0.0425,0.2199,0.9167
420,0.0683,0.1245,1.0305
421,0.0837,0.1345,1.0062
422,-0.0001,0.1456,1.0462
423,-0.0214,0.1345,0.9185
424,-0.0349,0.0353,1.0264
425,0.0578,0.1090,1.0599
426,-0.0197,0.1411,0.9490
427,-0.1021,0.0101,1.0735
428,-0.1266,0.0434,1.0882
429,0.0385,0.0246,1.0657
430,0.0674,0.0604,1.0308
431,-0.0330,0.0290,1.1426
432,-0.0145,0.1075,0.9989
433,0.1041,0.1469,1.1456
434,-0.0231,0.1859,0.9700
435,-0.0826,0.1245,1.1552
436,-0.0623,0.1990,0.9814
437,0.0201,0.2266,0.9013
438,0.1102,0.1985,0.9531
439,0.1119,0.2237,0.9126
440,0.0213,0.2698,0.9212
441,0.0020,0.1917,0.8708
442,0.0157,0.0458,1.0142
443,-0.0216,0.1158,1.0258
444,0.0052,0.0580,1.0007
445,-0.0145,0.0217,1.1086
446,-0.0287,-0.0034,1.1572
447,-0.0006,0.0162,1.1181
448,-0.0845,0.0531,1.0515
449,-0.1180,-0.0226,1.1962
450,-0.0303,0.1303,1.0269
451,-0.0331,0.1159,0.9351
452,0.0180,0.0551,1.0519
453,0.0396,0.0499,1.0186
454,0.0034,0.1481,0.9405
455,0.0145,0.1776,0.9600
