Sample,X,Y,Z
0,-0.0396,0.0023,0.7397
1,-0.0181,0.0026,1.0228
2,-0.0251,0.0151,1.0204
3,-0.0012,0.0213,1.0076
4,0.0068,0.0130,1.0319
5,-0.0040,0.0130,1.0427
6,-0.0179,0.0067,1.0422
7,-0.0259,0.0125,1.0287
8,-0.0102,0.0173,1.0385
9,0.0073,0.0139,1.0267
10,0.0042,0.0253,1.0153
11,-0.0080,0.0144,1.0237
12,-0.0202,0.0011,1.0394
13,-0.0151,-0.0084,1.0640
14,-0.0097,0.0114,1.0347
15,-0.0034,0.0241,1.0066
16,-0.0259,0.0161,1.0086
17,-0.0195,-0.0007,1.0339
18,-0.0240,-0.0028,1.0630
19,-0.0001,0.0118,1.0436
20,-0.0006,0.0222,1.0291
21,-0.0193,0.0226,1.0219
22,-0.0224,0.0087,1.0522
23,-0.0178,0.0183,1.0366
24,-0.0075,0.0197,1.0180
25,0.0057,0.0082,1.0153
26,0.0075,0.0015,1.0472
27,-0.0087,-0.0033,1.0439
28,-0.0128,0.0228,1.0246
29,-0.0175,0.0101,1.0200
30,-0.0087,0.0144,1.0297
31,-0.0044,0.0090,1.0367
32,0.0004,0.0125,1.0246
33,-0.0176,0.0236,1.0308
34,-0.0266,0.0157,1.0411
35,-0.0255,0.0089,1.0555
36,-0.0107,0.0139,1.0322
37,0.0026,0.0134,1.0247
38,-0.0112,0.0116,1.0291
39,-0.0157,0.0067,1.0462
40,-0.0317,0.0195,1.0461
41,-0.0176,0.0178,1.0145
42,-0.0011,0.0057,1.0260
43,-0.0070,0.0033,1.0332
44,-0.0114,0.0079,1.0278
45,-0.0172,0.0085,1.0347
46,-0.0018,0.0153,1.0329
47,-0.0029,0.0148,1.0239
48,-0.0158,0.0111,1.0287
49,-0.0254,0.0136,1.0298
50,-0.0140,0.0045,1.0468
51,0.0027,0.0223,1.0316
52,-0.0056,0.0247,1.0255
53,-0.0158,0.0162,1.0164
54,-0.0173,0.0153,1.0308
55,-0.0238,0.0059,1.0469
56,-0.0036,0.0021,1.0297
57,-0.0068,0.0091,1.0189
58,-0.0173,0.0126,1.0115
59,-0.0314,0.0043,1.0375
60,-0.0043,0.0034,1.0515
61,0.0031,0.0110,1.0424
62,-0.0043,0.0223,1.0215
63,-0.0185,0.0240,1.0283
64,-0.0080,0.0121,1.0393
65,-0.0115,0.0206,1.0300
66,-0.0104,0.0319,1.0137
67,-0.0129,0.0070,1.0312
68,-0.0161,0.0069,1.0415
69,-0.0173,-0.0007,1.0560
70,-0.0176,0.0120,1.0240
71,0.0088,0.0183,1.0178
72,0.0106,0.0225,1.0236
73,-0.0117,0.0037,1.0422
74,-0.0388,0.0068,1.0457
75,-0.0139,0.0014,1.0458
76,-0.0040,0.0266,1.0299
77,0.0043,0.0202,1.0187
78,-0.0070,0.0239,1.0043
79,-0.0314,-0.0021,1.0391
80,-0.0358,-0.0085,1.0565
81,-0.0096,0.0109,1.0527
82,0.0127,0.0271,1.0058
83,-0.0109,0.0266,0.9954
84,-0.0184,-0.0010,1.0323
85,-0.0099,0.0092,1.0607
86,-0.0103,0.0060,1.0649
87,-0.0098,0.0148,1.0238
88,-0.0121,0.0121,1.0137
89,-0.0075,0.0016,1.0385
90,-0.0122,0.0048,1.0486
91,-0.0065,0.0199,1.0186
92,-0.0130,0.0244,1.0126
93,-0.0202,0.0090,1.0397
94,-0.0142,-0.0034,1.0625
95,-0.0168,0.0137,1.0300
96,-0.0060,0.0171,1.0052
97,-0.0201,0.0146,1.0151
98,-0.0204,0.0029,1.0542
99,-0.0001,0.0062,1.0479
100,0.0120,0.0033,1.0369
101,0.0127,0.0166,1.0134
102,-0.0229,0.0026,1.0354
103,-0.0300,0.0079,1.0431
104,-0.0176,0.0121,1.0364
105,0.0057,0.0157,1.0244
106,0.0079,0.0243,1.0158
107,-0.0226,0.0158,1.0410
108,-0.0386,-0.0006,1.0536
109,-0.0197,0.0149,1.0483
110,0.0085,0.0201,1.0204
111,0.0059,0.0365,1.0062
112,-0.0215,0.0103,1.0228
113,-0.0040,0.0052,1.0455
114,0.0046,0.0056,1.0562
115,0.0238,0.0153,1.0289
116,0.2515,0.0111,1.0065
117,0.3540,0.0032,1.0739
118,0.3326,0.0133,1.0471
119,0.2667,0.0109,1.0540
120,0.2277,0.0254,1.0084
121,0.2310,0.0158,1.0529
122,0.3447,0.0403,1.0011
123,0.2966,0.0598,0.9428
124,0.0547,0.0052,1.0280
125,-0.1137,-0.0427,1.1311
126,-0.1504,-0.0239,1.1417
127,-0.1402,0.0770,0.9840
128,-0.1602,0.1026,0.8754
129,-0.1859,0.0251,0.9487
130,-0.1855,-0.0609,1.1541
131,-0.1182,-0.0774,1.1985
132,0.0164,0.0063,1.0317
133,0.1466,0.0287,0.9399
134,0.2130,0.0043,1.0071
135,0.3318,-0.0140,1.0729
136,0.4600,0.0278,1.0344
137,0.4069,0.0871,0.9592
138,0.2493,0.0533,1.0007
139,0.1725,0.0253,1.0505
140,0.1555,0.0240,1.0980
141,0.1803,0.0640,0.9888
142,0.2741,0.0524,0.9641
143,0.1967,0.0033,1.0664
144,0.0898,-0.0518,1.1928
145,-0.1100,-0.0263,1.1422
146,-0.3170,0.0424,0.9595
147,-0.3908,0.0260,0.8841
148,-0.3390,-0.0336,1.0026
149,-0.1279,-0.0681,1.0510
150,0.1086,-0.0176,1.0408
151,0.2014,0.0058,1.0574
152,0.1119,0.0058,1.1644
153,0.0674,0.0473,1.0969
154,0.1418,0.1266,0.9081
155,0.3893,0.1499,0.7949
156,0.6833,0.0564,0.9127
157,0.7427,-0.0353,1.1326
158,0.2907,-0.0969,1.2542
159,-0.1726,-0.1018,1.2122
160,-0.3433,-0.0042,1.0982
161,0.0220,0.1094,0.9020
162,0.4492,0.1957,0.7410
163,0.2675,0.1223,0.8164
164,-0.3474,-0.0941,1.1876
165,-0.6464,-0.2526,1.4966
166,-0.2095,-0.0897,1.3742
167,0.4944,0.1252,0.8074
168,0.3822,0.1826,0.5480
169,-0.4385,-0.0160,0.8476
170,-0.7068,-0.2079,1.3745
171,-0.0625,-0.0667,1.4186
172,0.9040,0.2486,0.8794
173,0.9255,0.3149,0.4490
174,0.0890,-0.0404,0.8980
175,-0.2899,-0.3428,1.6961
176,0.2878,-0.1206,1.4971
177,0.8937,0.2739,0.7744
178,0.5986,0.4789,0.0578
179,-0.1255,-0.0920,0.8713
180,-0.3942,-0.3550,1.8603
181,-0.0358,-0.2532,1.6296
182,0.4340,0.2543,0.6250
183,0.2742,0.4136,0.2119
184,-0.6177,-0.2032,1.2628
185,-0.9797,-0.2493,1.7559
186,-0.3047,0.0164,1.0898
187,0.4737,0.3804,0.3502
188,0.3997,0.0463,0.7659
189,0.0236,-0.3276,1.6274
190,-0.1015,-0.2357,1.5493
191,0.0801,0.1706,0.8083
192,0.1536,0.2448,0.5789
193,0.7186,0.1144,0.7270
194,0.5013,-0.1464,1.3170
195,-0.0391,-0.0797,1.3119
196,0.2942,0.0024,0.9324
197,0.6814,0.1901,0.9089
198,0.0292,0.0632,1.0356
199,-0.2040,-0.1093,1.1049
200,-0.0222,0.0377,0.9847
201,0.0447,0.0316,1.0960
202,0.2344,-0.0284,1.0319
203,0.0388,0.0437,0.9824
204,-0.5660,-0.0051,1.0600
205,-0.4903,-0.1170,1.2293
206,0.1071,-0.0190,1.1384
207,0.3500,0.1797,0.7438
208,0.3639,0.0720,0.6997
209,-0.3748,-0.1282,1.3652
210,-0.4667,-0.1079,1.4083
211,0.4193,0.0948,0.9662
212,0.7336,0.2737,0.5841
213,0.6902,0.0605,0.7449
214,0.4411,-0.3154,1.5266
215,-0.4751,-0.0751,1.4412
216,0.0037,0.0579,0.9404
217,0.6860,0.2797,0.5812
218,0.3602,0.1760,0.7306
219,0.0627,-0.1807,1.2863
220,-0.7192,-0.1140,1.3478
221,-0.7192,-0.1140,1.3478
222,-0.3642,-0.1227,1.1598
223,0.5420,0.1721,0.8762
224,0.4594,0.1653,0.7653
225,-0.1098,-0.0364,0.9916
226,-0.6556,-0.1083,1.1896
227,-0.2524,-0.1940,1.3578
228,0.3049,0.1055,1.1153
229,0.7657,0.2552,0.5424
230,0.0483,0.1005,0.7570
231,-0.6238,-0.1252,1.2634
232,0.0804,-0.2332,1.5372
233,0.5020,0.1107,1.0624
234,0.7498,0.2337,0.5219
235,0.2595,0.0841,0.8049
236,-0.4232,-0.1703,1.4017
237,0.0087,-0.0361,1.4358
238,0.7114,0.1448,0.7278
239,0.3765,0.2089,0.4934
240,-0.0990,-0.1528,1.1670
241,-0.5781,-0.3292,1.8113
242,-0.0338,-0.0037,1.2187
243,0.4149,0.3173,0.3911
244,0.2437,0.3231,0.3303
245,-0.4434,-0.2321,1.4776
246,-0.2339,-0.2955,1.7401
247,0.2124,-0.0236,1.2339
248,0.5281,0.3920,0.2339
249,0.2438,0.1350,0.7689
250,-0.0241,-0.1929,1.4260
251,-0.1612,-0.1350,1.4838
252,0.4573,0.0822,0.7546
253,0.3047,0.2950,0.6703
254,0.1276,-0.0491,1.0593
255,-0.0996,-0.1182,1.3932
256,0.1476,-0.0439,0.9482
257,0.3090,0.1743,0.8460
258,0.1927,-0.0128,1.0275
259,-0.2354,-0.0021,1.2100
260,-0.0349,-0.0897,1.0695
261,-0.0076,0.0978,0.8815
262,0.1124,-0.0637,1.1377
263,0.1005,0.0698,1.0184
264,0.0582,-0.0306,1.0162
265,-0.1110,0.0167,0.9680
266,0.0087,-0.0485,1.1910
267,0.2299,-0.1340,1.1845
268,0.1972,0.2876,0.7861
269,-0.0750,-0.0091,0.9097
270,0.1749,0.1355,0.9280
271,0.2268,-0.1963,1.4277
272,0.2068,0.0043,1.0170
273,0.1337,0.1100,0.8447
274,0.1512,0.0114,0.9095
275,0.0937,0.0317,1.1738
276,0.0434,-0.1666,1.2843
277,0.1710,0.1830,0.7134
278,0.1674,0.0827,0.8665
279,-0.0157,-0.0482,1.1794
280,0.0353,-0.1424,1.4073
281,0.0176,0.0777,0.9414
282,0.0359,0.1191,0.7185
283,0.0186,0.0314,0.8997
284,0.1469,-0.1254,1.3600
285,0.0812,-0.0586,1.1885
286,-0.1269,0.0858,0.9616
287,0.3027,-0.0017,0.8682
288,0.2116,0.0439,1.0508
289,0.0431,-0.0361,1.1374
290,0.1233,0.0433,0.9644
291,0.1584,0.0697,0.9628
292,0.2072,0.0183,1.1436
293,0.0861,-0.0557,1.1502
294,-0.0899,0.1263,0.9620
295,-0.0164,0.0498,0.9066
296,0.3986,-0.0376,1.0034
297,0.2740,-0.0481,1.1501
298,0.1084,-0.0060,1.0501
299,0.0157,-0.0629,1.0371
300,-0.2339,0.0764,1.0434
301,-0.0319,0.0498,0.9938
302,0.2827,0.0361,0.9614
303,0.0463,0.0270,0.9253
304,-0.0611,-0.0578,1.1685
305,-0.1170,-0.0928,1.1970
306,-0.1843,0.1218,1.0438
307,0.3238,0.0946,0.8535
308,0.3329,0.0898,0.8922
309,-0.0147,-0.0923,1.1222
310,-0.0212,-0.0320,1.2542
311,0.0715,-0.0698,1.1186
312,0.2571,0.1370,0.8527
313,0.4333,0.1035,0.8304
314,0.1233,0.0480,1.0618
315,-0.0351,-0.1248,1.2161
316,0.0172,-0.0874,1.1846
317,-0.1318,0.0732,1.0513
318,0.3109,0.1022,0.8386
319,0.4078,0.1328,0.9058
320,-0.0580,-0.0136,1.0212
321,0.0005,-0.1049,1.1769
322,0.0422,-0.0670,1.2512
323,0.0941,0.0715,0.9727
324,0.2422,0.1578,0.8480
325,0.0091,0.0299,0.8994
326,-0.2444,-0.0984,1.1069
327,-0.0506,-0.1220,1.2461
328,0.1035,0.0977,0.9758
329,0.1959,0.1189,0.9649
330,0.2129,0.0615,0.8730
331,-0.1244,-0.0903,1.1765
332,-0.1744,-0.0708,1.2228
333,0.2150,0.0488,0.9962
334,0.4858,0.1865,0.8658
335,0.3899,0.0710,0.8362
336,0.0353,-0.1379,1.1541
337,-0.2467,-0.0534,1.2397
338,0.1691,0.0316,1.1040
339,0.4078,0.1402,0.9021
340,0.3625,0.0754,0.7868
341,0.0057,-0.0555,1.0618
342,-0.3245,-0.0927,1.2843
343,0.0084,-0.0175,1.1415
344,0.3469,0.1622,0.8981
345,0.2805,0.1255,0.7205
346,-0.2011,-0.1218,1.1465
347,-0.3240,-0.1690,1.3516
348,0.1228,-0.0728,1.1686
349,0.2194,0.2435,0.6502
350,0.2612,0.1666,0.6825
351,-0.2271,-0.1533,1.2681
352,-0.2583,-0.1664,1.4460
353,0.2855,-0.0009,1.1521
354,0.5303,0.2901,0.5674
355,0.3051,0.0786,0.7668
356,-0.1841,-0.2054,1.3701
357,-0.2590,-0.1616,1.4421
358,0.0868,0.1313,0.9326
359,0.5674,0.2374,0.5337
360,0.1957,0.0007,0.8953
361,-0.0506,-0.1487,1.4371
362,0.0251,-0.0134,1.2891
363,0.2510,0.1432,0.8655
364,0.2898,0.1910,0.6753
365,0.2898,0.1910,0.6753
366,-0.0016,-0.0942,1.1598
367,-0.2673,-0.1553,1.4158
368,-0.0012,-0.0045,1.1003
369,0.2975,0.0453,0.7573
370,0.1546,0.1913,0.7595
371,-0.0520,-0.0229,1.1618
372,0.0092,-0.0947,1.2532
373,0.0764,-0.0617,1.1216
374,0.0515,0.1208,0.7528
375,0.0136,0.0690,1.0065
376,-0.0303,0.0118,1.1544
377,0.1798,-0.0125,1.0691
378,0.0180,0.0521,0.9217
379,0.1287,0.0962,0.9789
380,0.0895,-0.1077,1.2081
381,0.2205,-0.0433,1.1920
382,0.1746,0.0544,0.8356
383,0.2039,0.0626,0.9105
384,0.1169,0.0237,1.0755
385,0.1169,0.0237,1.0755
386,0.2493,-0.0261,1.2005
387,0.1777,0.0010,1.0065
388,0.1073,0.1967,0.8600
389,0.0029,-0.0224,1.1257
390,0.0278,0.0044,1.1699
391,0.0046,-0.0242,0.9589
392,0.1450,0.1938,0.7943
393,-0.0660,-0.0545,1.1473
394,-0.1321,-0.0833,1.2447
395,-0.0549,-0.0765,1.0307
396,0.1274,0.0869,0.8203
397,0.0544,-0.0271,1.0841
398,0.0228,-0.0469,1.2162
399,0.1060,-0.0385,1.0579
400,0.0358,0.1221,0.8295
401,0.2187,0.0159,1.0222
402,0.2339,0.0200,1.1802
403,0.3137,0.0085,1.0986
404,0.2040,0.0509,0.9611
405,0.1960,0.0070,0.9878
406,0.1672,0.0209,1.0744
407,0.1180,0.0046,1.0520
408,0.0797,0.0853,0.9405
409,0.1391,-0.0149,0.9753
410,0.0183,0.0398,1.0536
411,0.1135,-0.0305,1.1780
412,-0.0862,0.0167,0.9968
413,-0.1071,0.0483,0.9339
414,-0.0419,0.0723,1.0520
415,-0.0558,-0.0266,1.1312
416,-0.1394,-0.0181,0.9864
417,-0.0319,0.0331,0.8686
418,0.1924,0.0327,1.0500
419,0.0573,-0.0710,1.2031
420,0.1257,-0.0422,1.0555
421,0.3292,0.1049,0.9586
422,0.1949,0.0098,0.9622
423,0.2510,-0.0142,1.1205
424,0.1738,-0.0878,1.1898
425,0.1738,-0.0878,1.1898
426,0.2634,0.0576,0.8951
427,0.2540,0.0506,0.9604
428,0.0637,-0.0052,1.0602
429,0.0996,0.0248,1.2103
430,0.1887,0.0287,0.9739
431,-0.1019,0.1124,0.8577
432,-0.0378,-0.0609,1.0981
433,0.0331,0.0491,1.0337
434,-0.0959,0.0457,1.0232
435,-0.0836,0.0795,0.9675
436,0.0058,0.1617,0.8847
437,0.0317,-0.0052,1.1008
438,-0.1286,-0.0980,1.3001
439,0.0976,-0.0535,1.0303
440,0.3392,0.0745,0.9016
441,0.1461,-0.0060,1.0535
442,0.0065,0.0173,1.0347
443,0.2353,0.0615,0.9207
444,0.2466,0.0322,0.9673
445,0.3187,-0.0436,1.1218
446,0.3237,-0.0012,1.1485
447,0.2480,-0.0432,1.1953
448,-0.1438,0.0581,0.9822
449,0.0992,0.0102,0.8619
450,0.2931,0.1111,0.9390
451,-0.0759,-0.0129,1.0939
452,-0.1965,-0.0381,1.0331
453,0.0026,-0.0361,1.1128
454,0.0116,0.0117,1.1099
455,-0.0517,0.0195,0.9815
456,0.0048,0.0595,0.9327
457,0.0937,0.0168,1.0007
458,0.1080,-0.0146,1.0796
459,0.1921,0.0341,1.1865
460,0.1701,0.1059,0.9783
461,0.0493,-0.0535,1.0330
462,0.2469,0.0412,1.1237
463,0.5490,0.1155,0.8567
464,-0.0378,-0.0609,1.0981
465,0.1948,0.0549,0.8240
466,-0.2254,-0.0898,1.1518
467,0.0214,-0.0233,1.1135
468,0.1930,0.0002,1.0851
469,0.1093,0.0436,0.8511
470,0.1930,0.0027,0.8959
471,-0.0033,0.0096,1.2223
472,-0.0200,-0.1086,1.1912
473,0.2125,-0.0068,0.9913
474,0.0202,0.0754,0.9815
475,-0.0172,0.0804,0.9130
476,0.0784,-0.1326,1.1533
477,0.1287,-0.0120,1.1566
478,-0.0417,0.0599,0.9626
479,0.1639,0.0088,0.9775
480,0.0739,0.0448,1.0562
481,0.0745,-0.0161,1.0374
482,0.1716,-0.0162,1.1240
483,0.0314,0.0807,0.9773
484,0.1305,0.1038,0.9299
485,0.1305,0.1038,0.9299
486,0.1957,0.0068,0.9128
487,-0.1328,0.0276,0.9987
488,-0.1819,-0.1073,1.1593
489,-0.3561,-0.0087,1.2073
490,-0.1603,0.0339,0.8508
491,-0.0231,0.1436,0.9171
492,-0.0082,-0.0195,1.0401
493,-0.4265,0.0195,1.1736
494,-0.4581,-0.0475,1.1819
495,-0.2391,0.0557,0.9033
496,0.0013,-0.0259,1.0944
497,-0.2728,0.0261,0.9804
498,-0.0247,-0.0093,0.9340
499,-0.2230,0.0192,0.9909
500,-0.1309,0.0275,1.1733
501,0.0018,-0.0239,0.9567
502,-0.0667,0.0192,0.9444
503,-0.0628,0.0973,0.9153
504,0.0841,0.0224,1.0080
505,0.1806,-0.1305,1.2346
506,-0.0527,-0.0080,1.1502
507,0.0260,0.1320,0.9344
508,0.0144,0.0214,0.9608
509,-0.1628,-0.1723,1.1859
510,-0.1769,0.0173,1.0556
511,-0.2712,0.0791,0.9503
512,-0.1499,0.0616,0.8583
513,-0.2986,0.0087,1.1121
514,-0.1484,0.0038,1.1966
515,-0.2971,0.0773,0.9669
516,-0.4237,0.0719,0.8540
517,0.0087,-0.0503,1.0895
518,-0.1775,0.0736,1.1025
519,-0.2211,0.0260,0.9815
520,0.0539,0.0612,0.9327
521,0.1545,0.0149,1.0401
522,-0.1245,-0.0637,1.1558
523,-0.0242,-0.0156,1.1172
524,-0.0198,-0.0775,1.0406
525,0.0728,0.0593,0.9229
526,0.1569,0.0878,0.9434
527,-0.1179,0.0947,1.0312
528,-0.2432,-0.0093,1.1392
529,-0.1451,-0.1152,1.2075
530,-0.1140,-0.0202,0.9846
531,-0.1282,0.1335,0.8139
532,-0.4174,0.0354,0.9778
533,-0.3079,-0.0150,1.1387
534,-0.0107,-0.0324,0.9990
535,-0.2015,0.0759,0.9312
536,-0.1541,0.0016,0.9576
537,-0.1973,-0.0621,1.0898
538,-0.3372,-0.0522,1.2328
539,-0.0768,0.0004,1.0608
540,0.2265,0.1611,0.7475
541,-0.0305,0.0410,0.9692
542,-0.0048,-0.1097,1.1823
543,-0.0538,-0.0751,1.2879
544,-0.0604,0.0957,0.9675
545,-0.0815,0.0815,1.0079
546,-0.0942,0.0443,0.9246
547,-0.0754,-0.0170,1.0056
548,-0.2339,-0.0132,1.0344
549,-0.1815,0.0366,1.0166
550,-0.1083,-0.0473,1.0364
551,-0.1523,0.0596,0.8982
552,-0.3495,-0.1237,1.1577
553,-0.2981,-0.0256,1.0817
554,-0.1370,-0.0010,1.0521
555,0.0057,0.0266,0.9713
556,-0.0017,0.1407,0.8865
557,-0.1128,-0.0750,1.1732
558,-0.1733,-0.0110,1.1208
559,0.0117,-0.0879,1.2299
560,0.0768,0.0865,0.8593
561,-0.0105,0.0585,0.9590
562,-0.0610,0.0284,1.0004
563,-0.0258,0.0563,1.0337
564,-0.1033,-0.0670,1.0352
565,0.0125,0.0693,0.9797
566,-0.1099,0.0178,1.0872
567,-0.3484,-0.0109,1.0835
568,-0.1839,-0.0510,1.1174
569,-0.0942,0.0626,0.9324
570,-0.2664,0.0766,0.9112
571,-0.3724,-0.0335,0.9935
572,-0.2803,-0.0477,1.2253
573,-0.0589,-0.0231,1.0810
574,-0.0703,0.0336,1.0848
575,-0.0966,0.0410,0.9102
576,-0.1091,0.0331,1.0437
577,-0.1213,-0.0626,1.0320
578,-0.0708,-0.0103,1.0857
579,0.0089,0.0432,0.9976
580,-0.0117,0.0823,0.9814
581,-0.0212,-0.0229,0.9311
582,-0.0511,-0.0203,1.1170
583,-0.0055,0.0153,1.0854
584,-0.1011,-0.0419,1.0856
585,-0.2668,0.0590,0.8445
586,-0.2824,0.0287,1.0413
587,-0.2661,-0.0333,1.0976
588,-0.1888,-0.0408,1.1330
589,-0.1293,0.0756,0.8688
590,-0.2243,0.0121,1.0836
591,-0.1666,-0.0728,1.2148
592,-0.1555,-0.0765,1.2206
593,-0.1838,0.0992,0.8628
594,-0.0744,0.0358,0.9605
595,-0.0645,0.0001,0.9561
596,-0.0272,-0.0505,1.2289
597,0.0331,0.0498,0.9600
598,-0.0251,0.1243,0.8707
599,0.0262,0.0165,1.0571
600,0.0251,-0.0844,1.1948
601,-0.1669,-0.0165,0.9905
602,-0.1795,0.2011,0.7644
603,-0.0333,-0.0019,1.0500
604,-0.0356,-0.0975,1.2268
605,-0.1834,-0.1003,1.2358
606,-0.2510,0.1892,0.8351
607,-0.2671,-0.0261,1.0540
608,-0.1060,-0.0593,1.1079
609,-0.0984,-0.0852,1.1270
610,-0.3934,0.1461,0.8066
611,-0.1061,0.0658,0.9080
612,-0.1169,-0.0359,1.1839
613,-0.0641,-0.1431,1.2698
614,-0.1184,0.1313,0.8171
615,-0.0828,0.1417,0.8082
616,-0.0620,-0.1255,1.1890
617,0.0407,-0.1088,1.2771
618,-0.0656,0.1026,0.8230
619,-0.1259,0.2095,0.7425
620,-0.0123,-0.0121,1.1084
621,0.1218,-0.1526,1.4392
622,-0.1192,-0.0103,1.0955
623,-0.0274,0.1533,0.7397
624,-0.3691,0.0993,0.9210
625,-0.2676,-0.2076,1.3745
626,-0.1726,-0.0497,1.1788
627,-0.0864,0.1251,0.7460
628,-0.0864,0.1251,0.7460
629,-0.0876,0.1483,0.7590
630,-0.4055,-0.0942,1.2413
631,-0.1384,-0.1689,1.3539
632,-0.0589,0.1161,0.8484
633,-0.0670,0.1811,0.5912
634,-0.2122,-0.0178,1.0388
635,-0.3212,-0.1712,1.4236
636,-0.1545,-0.1374,1.2883
637,0.1179,0.2372,0.6633
638,0.2326,0.1360,0.7313
639,-0.1411,-0.0682,1.2067
640,-0.3151,-0.1846,1.4160
641,0.0492,0.0275,1.0938
642,0.1462,0.2584,0.6591
643,0.1161,-0.0102,0.9402
644,-0.2554,-0.1011,1.2399
645,-0.3510,-0.1037,1.2927
646,-0.0001,0.0734,1.0105
647,0.0930,0.2028,0.7402
648,-0.1160,0.0407,0.9144
649,-0.4910,-0.0585,1.0984
650,-0.5083,-0.1379,1.2496
651,-0.0569,-0.0211,1.0801
652,0.1516,0.1565,0.8060
653,-0.1213,0.0791,0.7964
654,-0.2639,-0.0771,1.1396
655,-0.3942,-0.2064,1.4457
656,-0.1705,-0.0228,1.1047
657,0.2263,0.1730,0.7795
658,0.0872,0.1956,0.5992
659,-0.2070,-0.1221,1.2466
660,-0.2573,-0.1711,1.4055
661,-0.1867,-0.0377,1.2625
662,0.2778,0.2165,0.6304
663,0.2050,0.2313,0.6158
664,-0.2225,-0.1323,1.1653
665,-0.3459,-0.2029,1.4901
666,-0.2354,-0.0221,1.1558
667,-0.0384,0.2824,0.6135
668,0.2229,0.0947,0.7664
669,-0.0895,-0.0991,1.1573
670,-0.3535,-0.2134,1.4382
671,-0.2887,-0.0158,1.1487
672,-0.1829,0.1658,0.8493
673,0.0290,0.1207,0.7360
674,0.0634,-0.0104,1.0419
675,-0.2625,-0.0745,1.1841
676,-0.2786,-0.0582,1.2244
677,-0.0276,0.0036,1.0744
678,-0.0654,0.1134,0.8885
679,-0.0895,0.0533,0.8233
680,-0.0251,-0.0088,1.0099
681,-0.1454,-0.0688,1.1110
682,-0.1244,-0.0517,1.1996
683,-0.0311,0.0286,0.9810
684,-0.1528,0.1438,0.8352
685,-0.1833,-0.0163,1.0619
686,-0.0016,-0.0605,1.0725
687,-0.1238,0.0249,1.0792
688,-0.1758,-0.0079,1.0778
689,-0.0942,0.0172,0.9983
690,-0.1189,0.0498,1.0977
691,-0.1827,-0.0263,1.0347
692,-0.2442,0.1033,0.9395
693,-0.0082,0.0209,1.0433
694,0.0200,0.0248,0.9988
695,-0.2668,-0.0836,1.2159
696,-0.1189,0.0149,0.9922
697,-0.0309,0.0690,0.9186
698,-0.1927,0.0004,1.0214
699,0.0297,0.0344,0.9131
700,-0.0537,-0.0371,1.1224
701,-0.0544,-0.0315,1.0173
702,-0.1748,-0.0505,1.1954
703,0.0327,0.0170,0.9928
704,-0.0650,0.1310,0.8927
705,-0.1813,-0.0770,1.1276
706,-0.0394,0.0151,0.9554
707,-0.1075,-0.0847,1.2443
708,-0.1066,0.1324,0.8633
709,-0.2197,-0.0031,1.1562
710,-0.2112,0.0601,0.8326
711,-0.1378,-0.0118,1.1349
712,-0.1013,-0.0919,1.0422
713,-0.1018,0.0827,1.0420
714,0.0034,-0.0004,0.9091
715,-0.1975,0.1557,0.8938
716,-0.1392,-0.0967,1.1804
717,-0.1363,0.0149,1.0442
718,-0.1218,-0.0606,1.1462
719,-0.1553,0.0856,0.8618
720,-0.0884,-0.0416,1.1794
721,-0.1658,0.0475,0.9148
722,-0.0410,0.0001,1.1036
723,-0.0776,0.0302,0.9312
724,0.0237,-0.0305,1.1849
725,-0.1312,-0.0401,1.0334
726,-0.0889,0.0608,0.9708
727,-0.2862,-0.0034,0.9191
728,-0.0059,0.0827,1.0115
729,-0.1099,-0.0956,1.1212
730,-0.0084,0.1101,0.9239
731,-0.1326,-0.0771,1.1133
732,-0.1576,0.0562,1.0802
733,-0.1292,-0.1260,1.2241
734,-0.1016,0.1743,0.8082
735,-0.2715,0.0012,0.9666
736,-0.2122,0.0924,1.0149
737,0.0034,-0.1496,1.2615
738,-0.1265,0.0392,0.9604
739,-0.0881,0.0269,0.9005
740,-0.1329,0.0079,1.0905
741,-0.1340,-0.0510,1.2437
742,0.0920,-0.0229,1.0074
743,-0.0538,0.2081,0.7087
744,-0.2952,-0.0215,0.9890
745,-0.1600,-0.1321,1.4115
746,-0.0129,-0.0029,1.1179
747,0.2349,0.1494,0.6628
748,-0.3316,0.1736,0.7214
