Sample,X,Y,Z
0,-0.0186,0.0162,1.1069
1,-0.0121,0.0126,1.0152
2,-0.0143,0.0094,1.0410
3,-0.0060,0.0198,1.0284
4,-0.0016,0.0165,1.0306
5,-0.0195,0.0178,1.0249
6,-0.0117,0.0073,1.0459
7,-0.0058,0.0170,1.0272
8,-0.0175,0.0073,1.0308
9,-0.0081,0.0131,1.0263
10,-0.0121,0.0145,1.0399
11,-0.0163,0.0184,1.0329
12,-0.0070,0.0229,1.0312
13,-0.0165,0.0173,1.0196
14,-0.0186,0.0067,1.0345
15,-0.0141,0.0102,1.0433
16,-0.0046,0.0187,1.0370
17,-0.0180,0.0192,1.0195
18,-0.0065,0.0106,1.0257
19,-0.0157,0.0262,1.0335
20,0.0099,0.0139,1.0452
21,-0.0132,0.0234,1.0329
22,-0.0166,0.0063,1.0276
23,-0.0094,0.0116,1.0395
24,-0.0122,0.0233,1.0342
25,-0.0117,0.0236,1.0305
26,-0.0164,0.0118,1.0265
27,-0.0205,0.0190,1.0314
28,-0.0103,0.0148,1.0400
29,-0.0049,0.0229,1.0332
30,-0.0112,0.0127,1.0332
31,-0.0107,0.0214,1.0204
32,-0.0154,0.0125,1.0357
33,-0.0114,0.0236,1.0324
34,-0.0043,0.0183,1.0469
35,-0.0151,0.0151,1.0273
36,-0.0095,0.0187,1.0291
37,-0.0107,0.0192,1.0252
38,-0.0073,0.0126,1.0378
39,-0.0001,0.0057,1.0421
40,-0.0065,0.0207,1.0398
41,-0.0181,0.0129,1.0208
42,-0.0091,0.0181,1.0300
43,-0.0161,0.0076,1.0426
44,0.0016,0.0182,1.0396
45,-0.0184,0.0209,1.0342
46,-0.0102,0.0245,1.0125
47,-0.0137,0.0148,1.0357
48,-0.0098,0.0149,1.0383
49,-0.0028,0.0128,1.0508
50,-0.0107,0.0235,1.0262
51,-0.0151,0.0156,1.0226
52,-0.0197,0.0122,1.0220
53,-0.0068,0.0130,1.0386
54,-0.0103,0.0170,1.0316
55,-0.0007,0.0192,1.0438
56,-0.0132,0.0219,1.0193
57,-0.0195,0.0182,1.0325
58,-0.0123,0.0124,1.0325
59,-0.0001,0.0190,1.0400
60,-0.0231,0.0142,1.0383
61,-0.0286,0.0170,1.0222
62,-0.0151,0.0131,1.0238
