Sample,X,Y,Z
0,-0.0112,0.0146,1.0701
1,-0.0056,-0.0049,1.0176
2,-0.0038,-0.0014,1.0283
3,0.0072,-0.0007,1.0288
4,0.0012,0.0045,1.0367
5,0.0003,0.0034,1.0319
6,-0.0193,0.0133,1.0226
7,-0.0136,0.0032,1.0266
8,-0.0098,0.0135,1.0154
9,0.0050,0.0062,1.0294
10,-0.0082,0.0062,1.0377
11,-0.0046,0.0026,1.0176
12,-0.0139,0.0109,1.0209
13,-0.0114,0.0009,1.0440
14,-0.0146,0.0095,1.0328
15,-0.0012,-0.0046,1.0250
16,-0.0137,-0.0016,1.0319
17,-0.0146,0.0060,1.0261
18,-0.0228,0.0214,1.0311
19,-0.0157,0.0023,1.0519
20,-0.0013,0.0178,1.0214
21,0.0029,0.0118,1.0178
22,-0.0004,0.0121,1.0319
23,0.0046,0.0098,1.0330
24,-0.0112,0.0148,1.0277
25,-0.0104,-0.0003,1.0305
26,-0.0098,0.0030,1.0275
27,-0.0002,-0.0054,1.0104
28,-0.0004,-0.0079,1.0349
29,-0.0028,-0.0055,1.0219
30,-0.0251,-0.0021,1.0315
31,-0.0217,-0.0026,1.0435
32,-0.0041,-0.0024,1.0458
33,0.0018,0.0044,1.0179
34,0.0001,0.0016,1.0229
35,-0.0026,-0.0021,1.0244
36,-0.0114,0.0072,1.0239
37,-0.0135,0.0087,1.0287
38,-0.0021,-0.0004,1.0294
39,0.0000,0.0031,1.0119
40,0.0083,0.0057,1.0014
41,-0.0096,0.0032,1.0267
42,-0.0250,0.0050,1.0436
43,-0.0181,0.0009,1.0381
44,-0.0017,-0.0007,1.0361
45,0.0034,-0.0012,1.0221
46,-0.0060,0.0038,1.0334
47,-0.0078,-0.0063,1.0396
48,-0.0189,0.0021,1.0182
49,-0.0154,0.0065,1.0344
50,-0.0048,0.0034,1.0361
51,-0.0043,0.0077,1.0204
52,-0.0014,0.0095,1.0170
53,-0.0058,0.0096,1.0322
54,-0.0180,0.0158,1.0187
55,-0.0114,0.0187,1.0246
56,0.0051,0.0081,1.0505
57,-0.0076,0.0035,1.0186
58,-0.0003,0.0002,1.0202
59,-0.0001,0.0034,1.0290
60,-0.0212,-0.0007,1.0388
61,-0.0251,0.0101,1.0430
62,-0.0003,0.0009,1.0500
63,0.0062,0.0034,1.0284
64,0.0106,0.0080,1.0269
65,-0.0096,0.0040,1.0291
66,-0.0114,0.0049,1.0311
67,-0.0126,0.0063,1.0366
68,0.0148,-0.0002,1.0280
69,0.0023,0.0033,1.0159
70,-0.0026,0.0062,1.0162
71,-0.0195,0.0118,1.0308
72,-0.0176,-0.0019,1.0338
73,-0.0203,0.0137,1.0359
74,0.0058,0.0038,1.0394
75,-0.0068,0.0051,1.0329
76,-0.0032,0.0013,1.0271
77,-0.0043,0.0112,1.0390
78,-0.0095,0.0004,1.0312
79,-0.0157,0.0126,1.0200
80,-0.0154,0.0003,1.0273
81,-0.0070,0.0134,1.0469
82,-0.0079,0.0126,1.0176
83,-0.0280,0.0062,1.0283
84,-0.0147,0.0034,1.0341
85,-0.0211,0.0157,1.0283
86,0.0053,0.0026,1.0205
87,0.0016,-0.0039,1.0369
88,0.0033,-0.0051,1.0165
89,-0.0151,0.0084,1.0381
90,-0.0248,0.0023,1.0339
91,-0.0240,0.0067,1.0300
92,0.0103,-0.0009,1.0297
93,-0.0012,-0.0019,1.0312
94,-0.0065,-0.0016,1.0067
95,-0.0238,0.0040,1.0295
96,-0.0117,0.0052,1.0317
97,-0.0058,0.0112,1.0330
98,0.0127,0.0011,1.0209
99,0.0000,0.0024,1.0378
100,0.0118,0.0015,1.0059
101,-0.0134,0.0033,1.0253
102,-0.0133,-0.0071,1.0389
103,-0.0118,-0.0013,1.0395
104,-0.0031,0.0060,1.0149
105,-0.0154,-0.0093,1.0437
106,0.0019,-0.0016,1.0273
107,-0.0029,0.0125,1.0356
108,-0.0037,0.0013,1.0366
109,-0.0067,0.0031,1.0347
110,0.0043,0.0079,1.0195
111,0.0009,0.0057,1.0370
112,0.0075,-0.0035,1.0240
113,-0.0154,0.0117,1.0117
114,-0.0093,0.0009,1.0298
115,0.0131,0.0082,1.0319
116,0.1653,-0.0070,1.0198
117,0.3273,0.0015,1.0740
118,0.3180,0.0097,1.0249
119,0.2039,0.0170,1.0301
120,0.1843,-0.0023,1.0701
121,0.3145,-0.0010,1.0696
122,0.3690,0.0040,0.9810
123,0.3271,-0.0031,0.9875
124,0.2021,0.0231,0.9968
125,0.0952,0.0223,1.0582
126,0.0790,0.0145,1.0905
127,0.0170,-0.0101,1.0796
128,-0.1215,0.0052,0.9885
129,-0.2580,0.0002,0.9843
130,-0.2664,0.0011,1.0160
131,-0.2037,-0.0031,1.0687
132,-0.1658,-0.0065,1.0270
133,-0.1486,-0.0024,1.0208
134,-0.0200,-0.0038,1.0452
135,0.1646,0.0224,1.0767
136,0.3361,0.0126,1.0452
137,0.4865,0.0121,1.0060
138,0.4866,0.0283,0.9984
139,0.4078,0.0380,1.0157
140,0.3923,0.0307,1.0457
141,0.3273,-0.0097,1.0604
142,0.2288,-0.0189,1.0131
143,0.1149,0.0228,0.9653
144,0.1193,0.0330,1.0277
145,0.2266,0.0080,1.1179
146,0.1549,0.0079,1.0981
147,-0.1924,0.0095,1.0485
148,-0.4580,-0.0072,1.0176
149,-0.4448,-0.0018,1.0078
150,-0.2591,0.0036,0.9590
151,-0.0593,-0.0179,0.9187
152,0.0596,0.0100,0.9759
153,0.0084,0.0615,1.0442
154,-0.0841,0.0405,1.1166
155,0.0729,-0.0044,1.1432
156,0.3415,-0.0129,1.0402
157,0.5777,-0.0162,0.9073
158,0.6250,0.0222,0.9666
159,0.3608,0.0406,1.0806
160,0.1028,-0.0013,1.1080
161,0.0544,-0.0452,1.1460
162,0.2208,-0.0405,1.0905
163,0.3810,0.0007,0.9593
164,0.2061,0.0551,0.9443
165,-0.1700,0.0394,1.0118
166,-0.2850,-0.0209,1.0888
167,-0.0090,-0.0222,1.1250
168,0.3375,-0.0212,1.0266
169,0.0292,0.0197,0.9333
170,-0.6265,0.0606,0.8601
171,-0.5333,-0.0129,1.0228
172,0.2498,-0.0133,1.1683
173,0.6425,-0.0103,1.0573
174,0.1553,0.0099,0.9265
175,-0.3573,0.0592,0.8830
176,0.0356,-0.0219,1.1559
177,0.9432,0.0370,1.2604
178,0.6754,-0.0433,1.1036
179,-0.0628,-0.0167,0.8242
180,-0.4392,0.0734,0.8735
181,0.3659,-0.0435,1.2388
182,0.8911,0.0934,1.1461
183,0.2878,-0.0869,1.0164
184,-0.2003,-0.0225,0.8885
185,-0.4401,0.1323,0.9659
186,-0.1332,0.0376,1.2226
187,0.1811,-0.0546,1.0458
188,0.2656,-0.1078,1.0038
189,-0.2038,0.0642,0.8022
190,-0.4658,0.0870,1.0374
191,0.0226,-0.0053,1.3529
192,0.4039,-0.0290,1.2064
193,0.0970,-0.0779,0.7928
194,-0.2065,-0.0588,0.8633
195,0.1088,0.1224,1.0886
196,0.4360,0.0620,1.1114
197,0.4404,-0.0816,0.9495
198,0.2442,-0.0710,1.0427
199,0.0325,0.0554,0.9831
200,0.1255,0.0983,1.0710
201,0.4075,-0.0311,1.2166
202,0.2859,-0.0588,1.0263
203,0.1521,-0.0095,0.7377
204,-0.1507,0.0953,1.0661
205,-0.1926,0.0176,1.2283
206,-0.0361,-0.0627,1.0933
207,0.2483,-0.0237,0.9593
208,0.1873,0.0165,0.9443
209,-0.2146,0.0771,1.0604
210,-0.3552,0.0750,1.1365
211,0.0283,-0.0905,1.0346
212,0.3830,-0.0662,0.9678
213,0.4005,0.0377,0.9107
214,0.0771,0.0307,0.9423
215,-0.3784,0.0594,1.1772
216,0.0275,-0.0469,1.1057
217,0.5538,-0.0485,1.0058
218,0.6067,0.0063,1.0540
219,0.2647,-0.0060,0.9648
220,-0.3765,0.0915,0.9949
221,-0.1497,-0.0208,1.0734
222,0.5362,-0.0635,1.1641
223,0.5479,0.0515,0.9702
224,0.0759,-0.0059,0.9043
225,-0.8355,0.0629,0.9752
226,-0.2814,-0.0089,1.1045
227,0.6703,0.0222,1.1664
