Sample,X,Y,Z
0,-0.0063,0.0211,0.7496
1,0.0132,0.0082,1.0018
2,-0.0021,-0.0002,1.0210
3,-0.0181,-0.0033,1.0323
4,-0.0303,0.0018,1.0186
5,-0.0084,0.0010,1.0463
6,-0.0073,0.0108,1.0317
7,0.0130,0.0081,1.0327
8,-0.0124,0.0104,1.0291
9,-0.0147,0.0048,1.0414
10,-0.0317,0.0096,1.0272
11,0.0001,0.0062,1.0336
12,0.0149,0.0104,1.0275
13,0.0102,0.0116,1.0253
14,-0.0042,0.0085,1.0272
15,-0.0154,0.0012,1.0420
16,-0.0280,0.0101,1.0308
17,-0.0076,0.0013,1.0386
18,0.0004,0.0012,1.0293
19,0.0157,0.0068,1.0268
20,-0.0081,-0.0020,1.0297
21,-0.0233,0.0063,1.0373
22,-0.0239,0.0099,1.0291
23,0.0036,0.0087,1.0342
24,0.0060,0.0092,1.0287
25,0.0109,0.0016,1.0232
26,-0.0224,0.0011,1.0214
27,-0.0224,0.0024,1.0415
28,-0.0284,0.0070,1.0257
29,0.0036,0.0137,1.0256
30,0.0044,0.0019,1.0363
31,0.0053,0.0065,1.0303
32,-0.0244,0.0019,1.0254
33,-0.0225,0.0007,1.0442
34,-0.0130,0.0151,1.0359
35,0.0005,0.0050,1.0275
36,0.0026,0.0065,1.0226
37,0.0052,0.0029,1.0280
38,-0.0242,0.0071,1.0233
39,-0.0157,0.0023,1.0331
40,-0.0292,0.0077,1.0493
41,-0.0022,0.0134,1.0275
42,0.0202,0.0088,1.0187
43,0.0040,-0.0043,1.0260
44,-0.0254,-0.0040,1.0248
45,-0.0303,0.0004,1.0426
46,-0.0204,0.0087,1.0288
47,-0.0134,0.0060,1.0231
48,0.0079,0.0041,1.0214
49,0.0009,0.0020,1.0255
50,-0.0183,0.0079,1.0335
51,-0.0291,0.0040,1.0383
52,-0.0026,0.0033,1.0357
53,0.0021,0.0082,1.0250
54,0.0195,0.0072,1.0157
55,-0.0142,-0.0032,1.0209
56,-0.0264,0.0050,1.0242
57,-0.0191,0.0133,1.0376
58,-0.0084,0.0023,1.0491
59,0.0000,0.0097,1.0248
60,-0.0126,-0.0049,1.0320
61,-0.0127,0.0014,1.0085
62,-0.0189,0.0060,1.0255
63,-0.0193,0.0018,1.0356
64,-0.0029,0.0043,1.0419
65,-0.0089,0.0142,1.0229
66,0.0028,-0.0027,1.0363
67,-0.0056,0.0026,1.0192
68,-0.0148,-0.0048,1.0240
69,-0.0336,0.0040,1.0168
70,-0.0132,0.0016,1.0442
71,0.0008,0.0099,1.0170
72,0.0024,0.0081,1.0366
73,-0.0084,0.0081,1.0339
74,-0.0190,0.0035,1.0339
75,-0.0357,0.0063,1.0190
76,-0.0034,0.0084,1.0413
77,0.0142,0.0095,1.0273
78,0.0171,0.0037,1.0320
79,-0.0001,0.0081,1.0257
80,-0.0235,0.0067,1.0317
81,-0.0298,0.0115,1.0271
82,-0.0242,0.0034,1.0478
83,-0.0006,0.0072,1.0219
84,0.0095,0.0057,1.0216
85,-0.0060,0.0020,1.0411
86,-0.0103,0.0052,1.0381
87,-0.0325,0.0065,1.0188
88,-0.0020,0.0067,1.0491
89,0.0009,0.0161,1.0217
90,0.0096,0.0085,1.0219
91,-0.0060,-0.0012,1.0217
92,-0.0122,0.0004,1.0383
93,-0.0255,0.0067,1.0283
94,-0.0090,0.0023,1.0358
95,0.0015,0.0042,1.0305
96,0.0031,0.0040,1.0281
97,-0.0212,0.0041,1.0229
98,-0.0111,-0.0082,1.0518
99,-0.0001,0.0106,1.0221
100,-0.0242,0.0057,1.0197
101,0.0161,0.0058,1.0220
102,0.0041,0.0026,1.0317
103,-0.0168,-0.0003,1.0257
104,-0.0261,-0.0034,1.0358
105,-0.0295,0.0038,1.0252
106,-0.0062,0.0043,1.0335
107,0.0085,-0.0005,1.0160
108,0.0079,-0.0016,1.0306
109,-0.0128,0.0049,1.0280
110,-0.0261,0.0045,1.0372
111,-0.0178,0.0082,1.0254
112,-0.0032,0.0013,1.0400
113,0.0116,0.0052,1.0281
114,0.0088,-0.0018,1.0280
115,-0.0090,-0.0076,1.0303
116,0.0557,0.0149,1.0264
117,0.3105,0.0309,1.0459
118,0.3142,0.0517,1.0906
119,0.3137,0.0718,1.0295
120,0.2073,0.1003,1.0172
121,0.2205,0.1609,1.0439
122,0.3190,0.1409,1.0063
123,0.2961,0.1491,0.9412
124,0.2629,0.1051,0.9807
125,0.1134,0.1302,1.0017
126,-0.0164,0.1834,1.0858
127,-0.0335,0.2777,1.0997
128,-0.1123,0.2921,1.1104
129,-0.2363,0.2910,0.9946
130,-0.2281,0.2038,0.8997
131,-0.1756,0.1420,0.9762
132,-0.0932,0.1412,1.0336
133,-0.0956,0.1746,0.9979
134,0.0309,0.1716,1.0436
135,0.2043,0.1594,1.0837
136,0.3988,0.1502,1.0652
137,0.5607,0.1434,1.0775
138,0.6487,0.1461,1.1110
139,0.5176,0.1348,1.0391
140,0.3766,0.0981,0.9039
141,0.2653,0.0255,0.8947
142,0.1484,-0.0208,0.9428
143,-0.0029,0.0154,0.9544
144,-0.0012,0.0634,1.0674
145,0.0609,0.1310,1.1654
146,-0.0300,0.1594,1.1816
147,-0.3071,0.1306,1.1281
148,-0.4606,0.0690,1.0142
149,-0.4359,-0.0060,0.9622
150,-0.3166,-0.0397,0.8994
151,-0.0707,-0.0116,0.8351
152,0.1888,0.0232,0.9626
153,0.2934,0.0534,1.0934
154,0.2648,0.0575,1.1404
155,0.2878,0.0159,1.1917
156,0.3912,-0.0012,1.1888
157,0.5206,-0.0555,1.0221
158,0.5869,-0.0591,0.9016
159,0.4549,0.0065,0.9689
160,0.0646,0.1296,1.0073
161,-0.1800,0.2422,1.0730
162,-0.1905,0.2364,1.1751
163,0.0978,0.2126,1.0535
164,0.1061,0.1794,0.9105
165,-0.2706,0.1164,0.8887
166,-0.3905,0.1335,0.8588
167,-0.1857,0.1375,1.0696
168,0.2673,0.1547,1.2054
169,0.3121,0.2248,1.1208
170,-0.2461,0.2300,1.0074
171,-0.2699,0.2095,0.9774
172,0.1520,0.2048,1.1046
173,0.6601,0.2103,1.0544
174,0.6718,0.1860,0.9483
175,0.0827,0.0737,0.7980
176,0.1870,-0.0496,0.9305
177,0.4902,0.0093,1.1292
178,0.5234,0.1337,1.2576
179,0.0784,0.2905,1.1267
180,-0.2880,0.3356,0.9093
181,-0.2880,0.3356,0.9093
182,0.1261,0.0766,1.0539
183,0.1486,0.0182,0.9822
184,-0.0894,-0.0681,1.0513
185,-0.0234,0.0613,0.9832
186,-0.1464,0.0787,0.9935
187,-0.2017,0.0698,0.8521
188,-0.1415,0.0978,0.9109
189,0.0618,0.1783,1.3446
190,0.0266,0.2516,1.2542
191,-0.0219,0.0863,0.9565
192,0.4163,-0.0489,0.8480
193,0.4890,-0.1518,1.1640
194,0.0772,0.0038,0.9258
195,-0.0130,0.0421,0.9161
196,0.5117,0.1707,1.1025
197,0.3340,0.2739,1.1866
198,0.0948,0.2392,0.8045
199,0.2148,0.0276,1.1497
200,0.0314,-0.0141,1.2997
201,-0.2297,0.0001,0.8215
202,-0.0065,0.0316,0.8449
203,0.0288,0.0730,1.3528
204,0.0491,0.3051,0.9693
205,-0.1244,0.2062,0.9551
206,-0.2961,0.0531,1.1701
207,-0.0846,0.1590,0.9587
208,0.0883,0.2650,1.0142
209,0.2668,0.2444,1.0748
210,0.4362,0.1456,0.8643
211,0.1211,0.0372,0.9149
212,0.0178,0.0034,0.9016
213,0.4016,0.0346,1.1544
214,0.3670,0.2286,1.4669
215,0.3974,0.3491,1.0506
216,0.2050,0.3343,0.8484
217,-0.1162,0.0964,0.9626
218,0.1711,0.0449,0.9407
219,0.1335,0.1569,1.1658
220,0.1098,0.1423,1.0696
221,0.0839,0.1846,0.7303
222,0.0839,0.1846,0.7303
223,-0.3403,-0.0278,0.8980
224,0.1020,-0.0446,0.9225
225,0.0828,0.0026,1.3812
226,0.0463,0.1041,1.3569
227,-0.1157,0.2036,1.0587
228,-0.3935,0.1135,1.0152
229,0.3296,0.0857,0.8456
230,0.3448,0.0238,1.0892
231,0.4096,0.0701,1.0056
232,-0.0104,0.1295,0.7793
233,-0.0500,-0.0554,1.0338
234,0.4109,0.0526,1.0643
235,0.3788,0.1085,1.1678
236,0.2288,0.2680,1.0537
237,-0.2435,0.1585,0.9579
238,0.0306,0.2419,1.1062
239,0.1304,0.2646,1.1815
240,0.2980,0.2651,1.0441
241,-0.0867,0.1046,0.8479
242,-0.1446,-0.0506,0.7316
243,0.0576,0.0146,0.8624
244,0.0551,0.0376,1.0419
245,0.0289,0.1899,1.3979
246,-0.1914,0.2685,1.1863
247,-0.0327,0.2653,0.9743
248,0.3608,0.1416,1.0408
249,0.3298,0.1235,0.9920
250,0.0851,0.0229,1.2050
251,0.0856,0.1359,0.8147
252,0.2138,-0.0488,1.0536
253,0.3553,0.2332,0.8111
254,0.1399,0.1125,1.0854
255,0.0648,0.4146,1.0468
256,0.1752,0.1819,1.3902
257,0.1752,0.2598,0.8221
258,0.0820,-0.1336,1.0278
259,0.1761,-0.0134,0.9196
260,0.0314,0.0817,1.0532
261,-0.1223,0.1157,0.8894
262,0.0307,-0.0040,1.1155
263,0.0740,0.2145,1.2281
264,0.1424,0.3420,1.1318
265,0.0075,0.1186,0.9990
266,0.0054,-0.0535,1.0763
267,0.1211,0.0764,0.8726
