Sample,X,Y,Z
0,0.0238,-0.0188,1.4454
1,-0.0102,0.0132,1.0095
2,0.0002,0.0117,1.0219
3,-0.0111,0.0171,1.0174
4,0.0051,-0.0026,1.0283
5,-0.0181,0.0057,1.0391
6,-0.0063,0.0092,1.0356
7,-0.0139,0.0063,1.0317
8,0.0114,-0.0043,1.0327
9,-0.0034,0.0052,1.0276
10,0.0028,0.0044,1.0326
11,-0.0234,0.0026,1.0419
12,-0.0065,0.0019,1.0379
13,-0.0151,0.0137,1.0312
14,0.0089,0.0024,1.0257
15,-0.0121,0.0055,1.0311
16,0.0018,-0.0018,1.0120
17,-0.0049,0.0018,1.0248
18,0.0013,0.0056,1.0288
19,-0.0001,0.0140,1.0280
20,0.0106,-0.0012,1.0293
21,-0.0074,0.0048,1.0480
22,0.0013,0.0059,1.0268
23,-0.0198,0.0101,1.0319
24,-0.0144,0.0111,1.0403
25,-0.0229,0.0137,1.0355
26,0.0052,-0.0040,1.0242
27,-0.0021,-0.0024,1.0208
28,-0.0007,0.0040,1.0300
29,-0.0212,-0.0007,1.0275
30,-0.0133,0.0024,1.0331
31,-0.0124,0.0026,1.0256
32,0.0087,-0.0084,1.0242
33,-0.0159,0.0005,1.0208
34,-0.0107,-0.0041,1.0239
35,-0.0082,-0.0024,1.0287
36,-0.0134,-0.0009,1.0406
37,-0.0175,0.0114,1.0280
38,0.0034,-0.0022,1.0293
39,0.0000,-0.0031,1.0222
40,0.0065,-0.0026,1.0373
41,-0.0253,0.0077,1.0344
42,-0.0139,-0.0042,1.0424
43,-0.0075,0.0015,1.0266
44,0.0044,0.0041,1.0214
45,-0.0002,0.0038,1.0271
46,0.0051,-0.0060,1.0310
47,-0.0085,0.0090,1.0234
48,-0.0099,-0.0043,1.0405
49,-0.0130,0.0032,1.0375
50,0.0005,-0.0009,1.0257
51,0.0065,-0.0085,1.0236
52,-0.0040,0.0019,1.0209
53,-0.0226,0.0166,1.0292
54,-0.0276,0.0029,1.0383
55,0.0002,0.0077,1.0341
56,0.0118,0.0085,1.0306
57,-0.0006,0.0030,1.0295
58,-0.0145,0.0143,1.0381
59,-0.0001,0.0065,1.0275
60,-0.0060,0.0095,1.0227
61,0.0078,0.0166,1.0242
62,0.0008,0.0045,1.0214
63,-0.0041,0.0031,1.0342
64,-0.0120,-0.0024,1.0444
65,-0.0175,0.0112,1.0320
66,-0.0236,-0.0014,1.0325
67,-0.0053,-0.0033,1.0250
68,-0.0083,0.0082,1.0330
69,-0.0027,0.0021,1.0273
70,-0.0111,0.0015,1.0327
71,-0.0085,0.0090,1.0246
72,-0.0089,0.0029,1.0273
73,0.0016,0.0032,1.0316
74,-0.0079,0.0060,1.0352
75,0.0085,-0.0081,1.0245
76,-0.0087,0.0026,1.0299
77,-0.0149,0.0038,1.0276
78,-0.0259,0.0139,1.0322
79,-0.0001,-0.0123,1.0433
80,0.0200,0.0016,1.0247
81,0.0090,-0.0090,1.0198
82,-0.0126,0.0037,1.0266
83,-0.0219,0.0065,1.0342
84,-0.0193,0.0104,1.0410
85,0.0069,-0.0039,1.0252
86,-0.0048,0.0075,1.0233
87,0.0060,0.0082,1.0175
88,-0.0082,0.0078,1.0397
89,-0.0114,0.0109,1.0366
90,-0.0122,0.0183,1.0285
91,0.0091,0.0013,1.0246
92,0.0027,0.0069,1.0195
93,0.0004,0.0018,1.0317
94,-0.0215,0.0053,1.0297
95,-0.0157,0.0062,1.0357
96,-0.0160,0.0028,1.0265
97,0.0048,0.0006,1.0252
98,-0.0175,0.0034,1.0367
99,-0.0001,0.0000,1.0269
100,-0.0192,0.0000,1.0229
101,-0.0031,0.0032,1.0315
102,-0.0054,0.0108,1.0253
103,0.0099,0.0005,1.0353
104,-0.0012,0.0045,1.0248
105,-0.0117,-0.0048,1.0278
106,-0.0160,-0.0010,1.0300
107,-0.0200,-0.0021,1.0397
108,-0.0176,0.0057,1.0275
109,-0.0117,-0.0046,1.0271
110,-0.0129,-0.0027,1.0281
111,0.0087,-0.0051,1.0273
112,-0.0066,0.0062,1.0315
113,-0.0190,0.0044,1.0335
114,-0.0068,-0.0043,1.0248
115,0.0062,-0.0095,1.0240
116,-0.0065,-0.0051,1.0259
117,0.0007,0.0106,1.0167
118,0.0091,0.0329,1.0402
119,-0.0001,0.0319,1.0744
120,-0.0133,0.0823,1.0257
121,0.0136,0.0953,0.9965
122,0.0073,0.0786,1.0174
123,-0.0200,0.0955,1.0161
124,-0.0535,0.1206,1.0426
125,-0.0446,0.1715,1.0787
126,-0.0035,0.2678,1.0674
127,0.0367,0.3480,1.0414
128,0.0178,0.3759,1.0072
129,0.0310,0.3418,0.9669
130,-0.0153,0.2817,0.9377
131,-0.0482,0.2076,0.9380
132,-0.0022,0.1640,0.9609
133,0.0518,0.1522,0.9878
134,0.0509,0.1367,1.0284
135,0.0375,0.1033,1.0861
136,0.0124,0.0996,1.1342
137,-0.0309,0.1006,1.1585
138,-0.0167,0.0903,1.1271
139,0.0000,0.0536,1.0500
140,0.0200,0.0162,0.9537
141,0.0023,-0.0038,0.9056
142,-0.0359,-0.0251,0.9328
143,-0.0422,0.0231,0.9844
144,0.0149,0.0872,1.0326
145,0.0311,0.1664,1.0561
146,0.0258,0.1964,1.0865
147,0.0004,0.1776,1.0626
148,-0.0145,0.1335,1.0449
149,-0.0361,0.0665,1.0219
150,-0.0274,-0.0038,0.9885
151,-0.0339,-0.0107,0.9720
152,-0.0176,0.0070,0.9874
153,0.0118,0.0450,1.0536
154,0.0385,0.1022,1.0988
155,0.0211,0.1271,1.1147
156,0.0158,0.0764,1.1078
157,-0.0185,0.0030,1.0450
158,-0.0292,-0.0428,0.9852
159,-0.0157,-0.0126,0.9754
160,-0.0024,0.0848,0.9688
161,0.0096,0.1682,1.0048
162,0.0344,0.1859,1.0070
163,-0.0078,0.1550,1.0297
164,-0.0472,0.1259,1.0094
165,-0.0715,0.1005,0.9767
166,-0.0118,0.0933,0.9672
167,0.0250,0.0978,0.9676
168,0.0388,0.0798,1.0040
169,0.0046,0.0914,1.1081
170,-0.0032,0.1472,1.1580
171,0.0040,0.2109,1.1472
172,0.0122,0.2418,1.0839
173,0.0166,0.2205,1.0083
174,0.0029,0.1562,0.9351
175,-0.0024,0.1019,0.8767
176,0.0060,0.0670,0.8972
177,-0.0293,0.0941,0.9792
178,0.0226,0.1813,1.0610
179,0.0471,0.2344,1.1016
180,0.0868,0.2183,1.0903
181,0.0139,0.1619,1.1169
182,-0.0499,0.1188,1.0884
183,-0.0452,0.0725,1.0723
184,-0.0166,0.0406,0.9825
185,-0.0235,0.0383,0.9267
186,0.0195,0.0730,0.9423
187,0.0469,0.1357,1.0161
188,0.0271,0.1752,1.0755
189,-0.0475,0.1689,1.1149
190,-0.0356,0.1281,1.0569
191,0.0187,0.0693,0.9744
192,-0.0091,-0.0083,0.9578
193,-0.0818,-0.0153,0.9909
194,-0.0510,0.0229,0.9788
195,-0.0034,0.0531,1.0234
196,0.0009,0.0693,1.0887
197,-0.0146,0.0635,1.1094
198,-0.0156,0.0369,1.0446
199,-0.0157,0.0093,1.0659
200,-0.0312,0.0534,1.0664
201,-0.0540,0.0847,1.0206
202,-0.0368,0.0892,0.9828
203,0.0316,0.0777,0.9805
204,0.0327,0.0927,1.0209
205,-0.0362,0.1729,1.1130
206,-0.0347,0.2427,1.1285
207,0.0004,0.2416,1.0457
208,0.0412,0.2247,0.9133
209,0.0574,0.1650,0.8638
210,0.0072,0.1240,0.9204
211,0.0115,0.1262,1.0466
212,-0.0022,0.1648,1.1105
213,0.0185,0.2037,1.1135
214,0.0964,0.1843,1.0359
215,0.0947,0.1096,0.9924
216,-0.0112,0.0866,1.0053
