Sample,X,Y,Z
0,-0.0201,0.0074,0.7640
1,-0.0258,0.0015,1.0126
2,0.0021,-0.0021,1.0222
3,0.0074,-0.0090,1.0114
4,0.0154,-0.0048,1.0154
5,-0.0120,0.0001,1.0225
6,-0.0254,0.0043,1.0457
7,-0.0078,-0.0036,1.0459
8,0.0097,-0.0028,1.0319
9,0.0118,-0.0021,1.0136
10,-0.0021,0.0062,1.0217
11,-0.0283,0.0043,1.0314
12,-0.0234,0.0001,1.0427
13,0.0067,0.0020,1.0183
14,0.0162,0.0021,1.0146
15,0.0018,-0.0021,1.0253
16,-0.0042,-0.0036,1.0410
17,-0.0122,0.0045,1.0410
18,-0.0226,0.0001,1.0322
19,0.0000,-0.0011,1.0168
20,0.0090,0.0036,1.0144
21,-0.0006,0.0019,1.0162
22,-0.0156,0.0062,1.0408
23,-0.0095,0.0058,1.0332
24,-0.0217,0.0153,1.0324
25,-0.0026,0.0041,1.0288
26,0.0010,0.0106,1.0197
27,0.0081,-0.0018,1.0170
28,-0.0026,0.0095,1.0229
29,-0.0110,0.0109,1.0381
30,-0.0292,0.0185,1.0381
31,-0.0068,-0.0014,1.0367
32,-0.0021,0.0063,1.0186
33,0.0110,-0.0016,1.0085
34,-0.0229,0.0144,1.0231
35,-0.0107,0.0053,1.0493
36,-0.0261,0.0100,1.0349
37,0.0087,-0.0044,1.0242
38,-0.0043,-0.0068,1.0150
39,0.0000,-0.0067,1.0236
40,-0.0494,0.0044,1.0372
41,-0.0313,0.0030,1.0535
42,-0.0146,0.0118,1.0293
43,0.0162,-0.0024,1.0252
44,0.0037,0.0034,1.0042
45,-0.0007,-0.0007,1.0238
46,-0.0283,0.0082,1.0381
47,-0.0103,0.0076,1.0491
48,-0.0011,0.0129,1.0216
49,0.0129,0.0038,1.0164
50,0.0009,0.0001,1.0143
51,-0.0035,-0.0002,1.0287
52,-0.0186,0.0085,1.0381
53,-0.0098,0.0077,1.0438
54,-0.0010,0.0119,1.0287
55,0.0089,0.0035,1.0188
56,-0.0193,0.0013,1.0278
57,-0.0044,-0.0016,1.0325
58,-0.0082,0.0148,1.0266
59,0.0000,0.0091,1.0302
60,-0.0039,0.0103,1.0351
61,-0.0034,0.0071,1.0322
62,-0.0028,-0.0049,1.0137
63,0.0115,0.0028,1.0303
64,-0.0012,0.0103,1.0278
65,-0.0208,0.0146,1.0400
66,-0.0088,0.0010,1.0424
67,0.0031,-0.0009,1.0245
68,0.0236,-0.0087,1.0146
69,-0.0061,0.0104,1.0214
70,-0.0071,0.0076,1.0384
71,-0.0317,0.0103,1.0517
72,-0.0067,-0.0006,1.0312
73,-0.0034,-0.0054,1.0278
74,0.0095,-0.0073,1.0081
75,-0.0091,0.0048,1.0161
76,-0.0152,0.0004,1.0408
77,-0.0297,0.0063,1.0391
78,0.0056,-0.0124,1.0414
79,0.0000,0.0056,1.0098
80,-0.0152,-0.0053,1.0125
81,-0.0265,-0.0016,1.0190
82,-0.0203,0.0027,1.0390
83,-0.0165,0.0019,1.0285
84,-0.0024,-0.0022,1.0250
85,-0.0051,-0.0018,1.0214
86,0.0048,0.0037,1.0292
87,-0.0117,0.0112,1.0413
