Sample,X,Y,Z
0,-0.0217,0.0034,1.0905
1,-0.0139,0.0050,1.0066
2,-0.0167,0.0118,1.0466
3,0.0135,0.0015,1.0298
4,-0.0106,0.0020,1.0157
5,-0.0130,-0.0009,1.0104
6,-0.0211,0.0043,1.0308
7,-0.0061,0.0041,1.0357
8,-0.0250,0.0197,1.0377
9,0.0059,-0.0028,1.0291
10,-0.0007,-0.0026,1.0299
11,0.0075,-0.0009,1.0184
12,-0.0178,0.0126,1.0175
13,-0.0049,0.0059,1.0297
14,-0.0126,0.0157,1.0256
15,-0.0057,0.0056,1.0319
16,0.0010,-0.0019,1.0237
17,0.0122,-0.0090,1.0179
18,-0.0085,0.0048,1.0312
19,-0.0157,0.0102,1.0375
20,0.0049,0.0081,1.0386
21,0.0013,-0.0102,1.0239
22,-0.0057,0.0056,1.0104
23,0.0148,-0.0146,1.0162
24,-0.0013,0.0088,1.0214
25,-0.0153,0.0052,1.0490
26,-0.0088,0.0100,1.0415
27,0.0089,0.0001,1.0261
28,0.0165,-0.0032,1.0120
29,0.0020,0.0016,1.0249
30,-0.0200,0.0043,1.0388
31,-0.0243,0.0057,1.0454
32,0.0052,0.0038,1.0385
33,-0.0004,0.0008,1.0285
34,0.0046,-0.0034,1.0135
35,-0.0152,0.0004,1.0320
36,-0.0048,0.0021,1.0342
37,-0.0253,0.0130,1.0384
38,-0.0033,0.0063,1.0303
39,-0.0001,0.0024,1.0283
40,-0.0055,-0.0076,1.0200
41,-0.0214,-0.0002,1.0246
42,-0.0107,0.0015,1.0381
43,-0.0303,0.0197,1.0308
44,0.0054,-0.0031,1.0425
45,0.0030,-0.0026,1.0239
46,0.0018,0.0031,1.0179
47,-0.0152,0.0053,1.0288
48,-0.0179,0.0139,1.0378
49,-0.0156,0.0099,1.0424
50,-0.0003,0.0008,1.0312
51,0.0057,-0.0022,1.0215
52,0.0139,0.0040,1.0171
53,-0.0147,0.0111,1.0255
54,-0.0241,0.0121,1.0378
55,-0.0053,0.0024,1.0400
56,0.0134,-0.0006,1.0253
57,-0.0007,0.0032,1.0132
58,0.0054,-0.0014,1.0145
59,-0.0001,0.0093,1.0300
60,-0.0077,0.0178,1.0580
61,-0.0039,0.0063,1.0365
62,0.0099,-0.0027,1.0325
63,-0.0012,0.0069,1.0134
64,-0.0087,0.0055,1.0356
65,-0.0125,0.0100,1.0351
66,-0.0278,0.0195,1.0357
67,0.0106,0.0020,1.0196
68,-0.0022,0.0070,1.0211
69,0.0031,-0.0021,1.0151
70,-0.0136,0.0060,1.0347
71,-0.0084,0.0091,1.0275
72,-0.0149,0.0140,1.0414
73,0.0068,0.0040,1.0273
74,-0.0097,0.0059,1.0261
75,-0.0078,-0.0012,1.0162
76,-0.0178,0.0072,1.0251
77,-0.0094,0.0009,1.0434
78,-0.0200,0.0158,1.0273
79,0.0000,-0.0046,1.0362
80,-0.0076,-0.0063,1.0212
81,-0.0067,-0.0034,1.0242
82,-0.0219,0.0078,1.0258
83,-0.0148,0.0082,1.0421
84,-0.0048,0.0093,1.0305
85,-0.0051,-0.0057,1.0208
86,-0.0092,-0.0007,1.0125
87,0.0031,-0.0072,1.0234
88,0.0040,0.0041,1.0302
89,-0.0146,0.0148,1.0416
90,-0.0103,0.0046,1.0431
91,-0.0016,-0.0018,1.0354
92,-0.0081,-0.0051,1.0173
93,-0.0024,0.0001,1.0188
94,-0.0034,0.0031,1.0206
95,-0.0212,0.0085,1.0320
96,0.0004,0.0021,1.0373
97,-0.0063,0.0048,1.0429
98,0.0024,0.0021,1.0222
99,-0.0001,0.0190,1.0192
100,0.0042,0.0161,1.0217
101,-0.0187,0.0121,1.0394
102,-0.0022,0.0043,1.0336
103,-0.0049,-0.0026,1.0212
104,0.0049,-0.0013,1.0176
105,-0.0140,-0.0013,1.0276
106,-0.0087,0.0149,1.0275
107,-0.0232,0.0154,1.0527
108,0.0009,-0.0031,1.0340
109,0.0060,0.0120,1.0181
110,0.0035,-0.0013,1.0104
111,-0.0189,0.0054,1.0317
112,-0.0134,0.0038,1.0358
113,-0.0136,0.0082,1.0366
114,0.0043,-0.0016,1.0275
115,-0.0036,-0.0031,1.0292
116,-0.0087,-0.0003,1.0121
117,-0.0121,0.0173,1.0109
118,0.0012,0.0267,1.0522
119,-0.0001,0.0336,1.0643
120,-0.0082,0.0809,1.0353
121,-0.0063,0.0941,1.0106
122,0.0122,0.0765,1.0150
123,-0.0195,0.0951,1.0144
124,-0.0726,0.1161,1.0520
125,-0.0525,0.1517,1.0654
126,-0.0044,0.2344,1.0511
127,0.0264,0.3074,1.0370
128,0.0244,0.3566,0.9942
129,0.0247,0.3245,0.9767
130,-0.0123,0.2674,0.9609
131,-0.0098,0.2053,0.9596
132,0.0041,0.1629,0.9592
133,0.0480,0.1387,0.9814
134,0.0347,0.1441,1.0249
135,0.0140,0.1325,1.0738
136,-0.0095,0.1458,1.1326
137,0.0032,0.1381,1.1589
138,-0.0164,0.1460,1.1091
139,-0.0001,0.1284,1.0171
140,-0.0192,0.0848,0.9230
141,-0.0027,0.0293,0.8874
142,-0.0345,0.0229,0.9163
143,-0.0022,0.0490,0.9531
144,0.0063,0.0955,1.0154
145,0.0448,0.1316,1.0441
146,0.0239,0.1816,1.0972
147,0.0007,0.1653,1.0969
148,-0.0247,0.1096,1.0706
149,-0.0045,0.0206,1.0248
150,-0.0327,-0.0388,0.9864
151,-0.0352,-0.0588,0.9671
152,-0.0314,-0.0380,0.9867
153,-0.0017,0.0202,1.0278
154,0.0408,0.0878,1.1030
155,0.0386,0.1198,1.1155
156,0.0104,0.0739,1.1157
157,-0.0042,0.0013,1.0393
158,-0.0640,-0.0408,0.9880
159,-0.0628,0.0075,0.9599
160,-0.0007,0.0746,0.9805
161,0.0391,0.1547,1.0032
162,0.0351,0.1837,1.0154
163,-0.0077,0.1730,1.0261
164,-0.0583,0.1273,1.0496
165,-0.0893,0.1137,1.0007
166,-0.0176,0.0911,0.9661
167,0.0385,0.0905,0.9422
168,0.0419,0.0703,0.9959
169,-0.0270,0.1043,1.0874
170,-0.0480,0.1469,1.1644
171,-0.0109,0.2045,1.1575
172,0.0446,0.2419,1.0718
173,0.0309,0.2360,0.9786
174,-0.0011,0.1808,0.9465
175,-0.0261,0.1259,0.9223
176,-0.0142,0.0874,0.9180
177,-0.0231,0.1011,0.9755
178,0.0248,0.1611,1.0562
179,0.0627,0.2424,1.0753
180,0.1245,0.2502,1.0833
181,0.0295,0.1866,1.1295
182,-0.0544,0.1289,1.1198
183,-0.0541,0.0914,1.0590
184,0.0052,0.0411,0.9815
185,-0.0003,0.0277,0.9045
186,0.0309,0.0643,0.9183
187,0.0321,0.1256,0.9809
188,0.0125,0.1545,1.1021
189,-0.0334,0.1263,1.1511
190,-0.0202,0.0883,1.0740
191,0.0121,-0.0026,0.9884
192,-0.0272,-0.0511,0.9568
193,-0.0935,-0.0381,0.9927
194,-0.0698,-0.0049,0.9967
195,0.0175,0.0142,1.0569
196,0.0154,0.0776,1.0908
197,-0.0060,0.1035,1.0750
198,-0.0045,0.0865,1.0454
199,-0.0152,0.0641,1.0411
200,-0.0657,0.1080,1.0362
201,-0.0471,0.1302,1.0100
202,-0.0293,0.1240,0.9875
203,0.0364,0.1107,0.9788
204,0.0115,0.1443,1.0014
205,-0.0395,0.2317,1.0884
206,-0.0284,0.2914,1.1384
207,0.0193,0.2851,1.0895
208,0.0262,0.2493,0.9753
209,0.0492,0.1996,0.8600
210,0.0134,0.1373,0.8989
211,-0.0251,0.1183,1.0216
212,-0.0406,0.1420,1.0753
213,0.0316,0.1470,1.0524
214,0.0941,0.0976,1.0291
215,0.1122,0.0740,0.9991
216,-0.0129,0.0748,1.0408
217,-0.0247,0.0908,1.1082
218,-0.0122,0.0875,1.1570
219,0.0209,0.1082,1.0649
220,0.0480,0.1251,0.9666
221,0.0314,0.0941,0.9184
222,0.0201,0.1078,0.9578
223,-0.0593,0.1459,1.0066
224,-0.0393,0.1179,1.0441
225,0.0109,0.0910,1.0518
226,-0.0052,0.0703,0.9727
227,-0.0176,0.0555,0.9431
228,-0.0378,0.0526,1.0278
229,-0.0516,0.1038,1.0808
230,-0.0073,0.1469,1.1433
231,-0.0227,0.1758,1.1594
232,-0.0089,0.1777,1.0566
233,-0.0219,0.1288,0.9563
234,-0.0101,0.0883,0.8972
235,-0.0555,0.0707,0.9443
236,-0.0478,0.0868,1.0311
237,0.0016,0.0899,1.0671
238,0.0529,0.0677,1.0386
239,0.0267,0.0995,1.0406
240,-0.0100,0.1486,1.0629
241,-0.0471,0.1888,1.1190
242,-0.0144,0.1699,1.0807
243,-0.0365,0.1381,1.0388
244,-0.0380,0.1205,0.9951
245,-0.0359,0.1203,0.9442
246,0.0028,0.1339,0.9556
247,-0.0070,0.1748,0.9453
248,-0.0181,0.2189,1.0300
249,0.0354,0.2400,1.0374
250,0.1179,0.2164,1.0769
251,0.0957,0.1863,1.0016
252,-0.0198,0.0864,1.0345
253,-0.0018,0.0292,1.0339
254,0.0720,-0.0016,1.0263
255,0.0254,-0.0363,1.0010
256,-0.0389,-0.0018,1.0944
257,-0.0358,0.0739,1.0772
258,0.0582,0.1642,1.0902
259,0.0366,0.1904,1.0604
260,-0.0967,0.1735,1.0701
261,-0.0471,0.1592,0.9960
262,0.0620,0.1357,0.9031
263,-0.0209,0.0701,0.8976
264,-0.1473,0.0708,0.9728
265,-0.0354,0.1166,0.9856
266,0.0603,0.1842,1.0238
267,0.0300,0.2645,1.1266
268,-0.0120,0.2917,1.1522
269,0.0190,0.2252,1.0890
270,-0.0214,0.0906,1.0003
271,-0.1085,-0.0440,0.9882
272,-0.1000,-0.0693,0.9031
273,-0.0028,-0.0500,0.9404
274,0.0095,0.0869,1.0687
275,0.0356,0.2012,1.1583
276,0.0392,0.2064,1.0983
277,-0.0273,0.1053,1.1151
278,-0.0898,0.0327,1.0328
279,-0.0847,0.0278,0.9675
280,-0.0598,0.0779,0.9399
281,0.0000,0.1492,0.9954
282,0.1089,0.1752,1.0202
283,0.0311,0.1851,1.0018
284,-0.0530,0.1674,1.0424
285,-0.0049,0.1686,1.0971
286,0.0046,0.2178,1.0182
287,0.0133,0.2857,1.0339
288,0.0768,0.2592,0.9839
289,0.0671,0.1630,0.9842
290,-0.0078,0.0435,0.9672
