Sample,X,Y,Z
0,0.0000,0.0121,0.7494
1,0.0000,0.0046,0.9858
2,-0.0090,0.0084,1.0182
3,-0.0171,0.0112,1.0251
4,-0.0190,0.0162,1.0214
5,0.0024,0.0122,1.0368
6,0.0136,0.0057,1.0256
7,-0.0062,0.0008,1.0281
8,-0.0176,0.0012,1.0281
9,-0.0110,-0.0017,1.0315
10,-0.0181,0.0165,1.0261
11,0.0043,-0.0034,1.0403
12,0.0063,-0.0053,1.0349
13,-0.0029,0.0018,1.0215
14,-0.0153,0.0112,1.0278
15,-0.0154,0.0120,1.0196
16,-0.0280,0.0161,1.0276
17,0.0055,0.0200,1.0356
18,0.0121,0.0046,1.0305
19,-0.0001,0.0056,1.0201
20,-0.0237,0.0092,1.0151
21,-0.0007,0.0070,1.0308
22,-0.0146,0.0180,1.0340
23,0.0106,0.0011,1.0369
24,0.0016,0.0033,1.0341
25,-0.0063,-0.0060,1.0305
26,-0.0266,0.0182,1.0291
27,-0.0237,0.0101,1.0280
28,-0.0243,0.0088,1.0259
29,0.0051,0.0049,1.0154
30,0.0050,0.0107,1.0278
31,0.0211,0.0076,1.0298
32,-0.0220,0.0222,1.0244
33,-0.0274,0.0259,1.0270
34,0.0030,0.0108,1.0314
35,0.0100,0.0083,1.0184
36,-0.0015,0.0003,1.0244
37,-0.0180,-0.0031,1.0248
38,-0.0324,0.0139,1.0291
39,-0.0157,0.0137,1.0463
40,0.0127,0.0077,1.0451
41,0.0067,0.0028,1.0144
42,-0.0016,0.0104,1.0140
43,-0.0196,0.0093,1.0107
44,-0.0045,0.0122,1.0309
45,-0.0165,0.0154,1.0326
46,-0.0107,0.0065,1.0299
47,0.0054,0.0051,1.0107
48,-0.0085,0.0099,1.0131
49,-0.0216,0.0053,1.0198
50,-0.0060,0.0098,1.0300
51,-0.0135,0.0129,1.0317
52,0.0002,-0.0034,1.0367
53,0.0079,0.0107,1.0190
54,-0.0021,-0.0048,1.0239
55,-0.0161,0.0052,1.0270
56,-0.0104,0.0038,1.0265
57,-0.0223,0.0122,1.0322
58,0.0009,0.0038,1.0330
59,0.0000,0.0018,1.0211
60,0.0005,-0.0005,0.9863
61,-0.0297,0.0148,1.0121
62,-0.0101,0.0189,1.0308
63,-0.0137,0.0261,1.0376
64,0.0127,0.0089,1.0388
65,0.0048,0.0048,1.0302
66,0.0074,-0.0040,0.9993
67,-0.0317,0.0130,1.0128
68,-0.0270,0.0049,1.0390
69,-0.0012,0.0124,1.0476
70,0.0101,0.0051,1.0300
71,-0.0018,0.0009,1.0288
72,-0.0059,0.0041,1.0234
73,-0.0214,0.0229,1.0221
74,-0.0058,0.0126,1.0280
75,0.0116,0.0085,1.0464
76,0.0007,0.0052,1.0146
77,-0.0018,0.0085,1.0178
78,-0.0173,0.0015,1.0257
79,-0.0001,0.0087,1.0338
80,-0.0319,0.0219,1.0160
81,-0.0157,0.0029,1.0364
82,0.0004,-0.0017,1.0237
83,-0.0013,0.0001,1.0359
84,-0.0038,-0.0006,1.0283
85,-0.0098,0.0030,1.0373
86,-0.0201,0.0229,1.0361
87,0.0010,0.0054,1.0373
88,0.0027,0.0112,1.0203
89,0.0065,0.0024,1.0153
90,-0.0164,0.0131,1.0119
91,-0.0168,0.0206,1.0288
92,-0.0208,0.0241,1.0361
93,-0.0032,0.0021,1.0436
