Sample,X,Y,Z
0,-0.0007,0.0247,0.4045
1,-0.0180,0.0016,1.0023
2,-0.0129,-0.0035,1.0359
3,-0.0139,0.0031,1.0451
4,0.0182,0.0019,1.0301
5,0.0070,0.0062,1.0265
6,0.0060,-0.0042,1.0283
7,-0.0179,0.0044,1.0214
8,0.0051,0.0006,1.0329
9,-0.0053,0.0101,1.0347
10,0.0009,-0.0024,1.0330
11,-0.0068,-0.0009,1.0242
12,0.0081,-0.0140,1.0140
13,-0.0098,0.0030,1.0127
14,-0.0117,0.0037,1.0405
15,0.0004,0.0041,1.0402
16,0.0070,-0.0079,1.0439
17,-0.0034,-0.0045,1.0189
18,-0.0078,-0.0083,1.0112
19,-0.0157,-0.0013,1.0166
20,0.0016,0.0063,1.0193
21,0.0173,0.0070,1.0189
22,0.0052,-0.0012,1.0296
23,-0.0088,-0.0068,1.0249
24,-0.0009,-0.0093,1.0221
25,-0.0010,0.0028,1.0270
26,-0.0176,0.0075,1.0381
27,0.0024,0.0043,1.0300
28,-0.0034,0.0038,1.0193
29,0.0063,-0.0057,1.0206
30,-0.0121,-0.0005,1.0217
31,-0.0023,-0.0003,1.0319
32,-0.0187,0.0018,1.0402
33,0.0081,-0.0114,1.0280
34,0.0040,-0.0011,1.0281
35,0.0048,-0.0087,1.0193
36,-0.0219,0.0035,1.0192
37,-0.0021,-0.0027,1.0264
38,-0.0137,0.0112,1.0305
39,0.0000,-0.0032,1.0310
40,-0.0111,-0.0034,1.0200
41,0.0084,-0.0058,1.0049
42,-0.0152,0.0048,1.0231
43,-0.0060,0.0075,1.0383
44,-0.0237,0.0192,1.0486
45,-0.0002,0.0008,1.0297
46,0.0040,0.0059,1.0087
47,0.0069,-0.0004,1.0198
48,-0.0244,0.0097,1.0252
49,-0.0161,0.0073,1.0511
50,-0.0079,0.0148,1.0408
51,0.0138,-0.0032,1.0344
52,0.0032,0.0023,1.0135
53,-0.0141,-0.0007,1.0129
54,-0.0273,0.0032,1.0244
55,-0.0116,0.0021,1.0495
56,0.0104,0.0089,1.0399
57,0.0006,0.0097,1.0222
58,-0.0154,0.0073,1.0115
59,-0.0001,-0.0011,1.0261
60,-0.0115,0.0068,1.0297
61,-0.0178,0.0132,1.0287
62,0.0024,0.0091,1.0338
63,-0.0117,0.0024,1.0291
64,0.0038,0.0009,1.0242
65,-0.0145,0.0058,1.0292
66,-0.0065,0.0099,1.0289
67,-0.0242,0.0162,1.0405
68,0.0052,0.0030,1.0317
69,-0.0074,0.0104,1.0365
70,0.0018,-0.0037,1.0184
71,-0.0160,0.0052,1.0226
72,-0.0065,0.0034,1.0292
73,-0.0149,0.0207,1.0322
74,-0.0014,0.0024,1.0396
75,-0.0103,0.0026,1.0247
76,0.0111,-0.0049,1.0086
77,-0.0132,0.0180,1.0129
78,-0.0031,0.0123,1.0312
79,-0.0157,0.0183,1.0521
80,0.0006,-0.0031,1.0453
81,-0.0046,0.0027,1.0266
82,-0.0082,0.0034,1.0114
83,-0.0298,0.0140,1.0203
84,-0.0039,0.0092,1.0421
85,0.0042,0.0153,1.0295
86,-0.0012,0.0023,1.0246
87,-0.0154,0.0071,1.0200
88,-0.0076,-0.0014,1.0186
89,-0.0116,0.0110,1.0232
90,-0.0165,0.0085,1.0374
91,-0.0021,0.0092,1.0272
92,-0.0042,0.0099,1.0160
93,-0.0073,-0.0070,1.0289
94,-0.0070,0.0006,1.0293
95,-0.0161,0.0112,1.0255
96,-0.0246,0.0193,1.0305
97,-0.0006,0.0146,1.0396
98,0.0034,0.0175,1.0297
99,0.0000,0.0009,1.0117
100,-0.0170,0.0004,1.0211
101,-0.0179,0.0165,1.0214
102,-0.0185,0.0190,1.0419
103,-0.0009,0.0019,1.0449
104,0.0006,0.0068,1.0374
105,0.0031,0.0067,1.0143
106,-0.0192,0.0118,1.0143
107,-0.0085,0.0131,1.0380
108,-0.0091,0.0164,1.0496
109,0.0060,0.0080,1.0361
110,-0.0038,0.0000,1.0188
111,-0.0124,0.0128,1.0054
112,-0.0186,0.0133,1.0308
113,-0.0084,0.0163,1.0443
114,-0.0073,0.0201,1.0381
115,0.0042,0.0060,1.0307
116,0.1140,0.0114,0.9822
117,0.2859,0.0309,1.0378
118,0.2911,0.0425,1.0416
119,0.1882,0.0557,1.0656
120,0.1602,0.0666,1.0438
121,0.3066,0.0690,1.0439
122,0.3823,0.0842,1.0009
123,0.3050,0.0814,0.9704
124,0.1735,0.1263,1.0342
125,0.1127,0.1846,1.0937
126,0.0899,0.2753,1.1177
127,0.0729,0.3333,1.1107
128,-0.0287,0.3451,0.9903
129,-0.2204,0.3252,0.8880
130,-0.3243,0.2543,0.9073
131,-0.1951,0.1980,0.9633
132,-0.1035,0.1768,1.0063
133,-0.0739,0.1787,0.9840
134,-0.0103,0.1630,1.0292
135,0.1097,0.1738,1.1008
136,0.3495,0.1643,1.1670
137,0.4968,0.1918,1.1616
138,0.5046,0.1807,1.1149
139,0.4392,0.1854,0.9802
140,0.3483,0.1263,0.9140
141,0.2939,0.0612,0.9053
142,0.1945,0.0394,0.9326
143,0.0895,0.1196,0.9064
144,0.1631,0.1489,1.0041
145,0.2308,0.1876,1.0986
146,0.0862,0.1881,1.1445
147,-0.2338,0.1411,1.0931
148,-0.4176,0.0336,1.0560
149,-0.3564,-0.0334,1.0117
150,-0.2173,-0.0723,0.9443
151,-0.0987,-0.0940,0.8958
152,0.0231,-0.0833,0.9568
153,0.0423,0.0118,1.0535
154,0.0292,0.0786,1.1859
155,0.1043,0.0545,1.2375
156,0.3123,0.0038,1.1550
157,0.5160,-0.0139,0.9352
158,0.5878,-0.0143,0.8808
159,0.3608,0.0834,0.9672
160,0.0457,0.1550,1.0439
161,0.0131,0.1797,1.1009
162,0.2004,0.1533,1.1108
163,0.3915,0.1445,0.9716
164,0.1994,0.1890,0.8987
165,-0.2966,0.1717,0.9184
166,-0.3782,0.1030,0.9962
167,0.0662,0.0348,1.1071
168,0.5005,0.0750,1.0771
169,0.1408,0.1246,1.0978
170,-0.6431,0.2529,0.9900
171,-0.7081,0.2376,1.0618
172,0.2565,0.1724,1.2219
173,0.7711,0.1911,1.0865
174,0.2741,0.1884,0.9395
175,-0.5165,0.1641,0.6587
176,-0.2417,0.1152,0.9030
177,0.8304,0.0240,1.2487
178,0.9366,0.2697,1.0932
179,0.1255,0.2705,1.0209
180,-0.2991,0.3113,0.8367
181,0.0871,0.2339,1.1433
182,0.6078,0.1580,1.2277
183,0.4887,0.0122,1.0362
184,0.0141,-0.0667,0.9226
185,-0.2514,0.0419,0.8306
186,-0.1588,0.1169,1.0053
187,0.0703,0.0498,1.2007
188,0.3096,0.0458,1.1498
189,-0.0603,0.1975,0.9638
190,-0.5137,0.1743,0.9196
191,0.0342,-0.0235,1.2739
192,0.4262,-0.0530,1.1540
193,-0.0095,-0.0844,0.8262
194,-0.2322,-0.0373,0.7643
195,0.0496,0.1071,1.0300
196,0.4187,0.2231,1.1047
197,0.3940,0.0867,1.0984
198,0.2032,-0.0282,1.1808
199,-0.0145,0.1340,0.9387
200,0.0999,0.2371,0.9348
201,0.2980,0.0557,1.2725
202,0.2673,0.0349,1.1392
203,0.0905,0.1519,0.6837
204,-0.0828,0.1393,1.0055
205,-0.1169,0.1826,1.3219
206,0.0148,0.3226,1.1252
207,0.2348,0.2503,1.0535
208,0.2124,0.1640,0.9496
209,-0.1101,0.2084,0.8398
210,-0.2666,0.1959,0.9091
211,0.1074,-0.0295,1.0742
212,0.3472,0.0136,1.1348
